Environmental package	Structured comment name	Example	Requirement	schemasheets cardinality	cardinality	recommended	github ticket
Agriculture	food_trav_mode	train travel [GENEPIO:0001060]	X				#229
Agriculture	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X				#229
Agriculture	fungicide_regm		C				
Agriculture	gaseous_environment		C				
Agriculture	genetic_mod	aox1A transgenic	X				
Agriculture	heavy_metals_meth		C				
Agriculture	herbicide_regm		C				
Agriculture	horizon		C				
Agriculture	horizon_meth		C				
Agriculture	host_age		M				
Agriculture	host_common_name		M				
Agriculture	host_disease_stat	downy mildew	C				
Agriculture	host_dry_mass	500 gram	X				
Agriculture	host_genotype		M				
Agriculture	host_height		M				
Agriculture	host_length		M				
Agriculture	host_life_stage		M				
Agriculture	host_phenotype		M				
Agriculture	host_spec_range		M				
Agriculture	host_subspecf_genlin	"serovar:Newport, variety:glabrum, cultivar: Red Delicious"	X				#227 & #256
Agriculture	host_symbiont	Paragordius varius	X				#224 & #175
Agriculture	host_taxid	9606	M				
Agriculture	host_tot_mass		M				
Agriculture	humidity	30% relative humidity	C				
Agriculture	isol_growth_condt		X				
Agriculture	lib_layout	paired	C				#231
Agriculture	lib_reads_seqd		M				
Agriculture	lib_screen	"enriched, screened, normalized"	M				
Agriculture	lib_size		X				
Agriculture	lib_vector		M				
Agriculture	library_prep_kit	"llumina DNA Prep, (M) Tagmentation"	X				
Agriculture	link_class_info		X				
Agriculture	link_climate_info		X				
Agriculture	local_class		C				
Agriculture	local_class_meth		C				
Agriculture	lot_number	"1239ABC01A, split Cornish hens"	X				
Agriculture	microbial_biomass		M				
Agriculture	microbial_biomass_meth		M				
Agriculture	mid		M				
Agriculture	misc_param		X				
Agriculture	non_mineral_nutr_regm		C				
Agriculture	nucl_acid_amp		M				
Agriculture	nucl_acid_ext		M				
Agriculture	organism_count	total prokaryotes;3.5e7 cells per milliliter;qPCR	C				
Agriculture	oxy_stat_samp		C				
Agriculture	pathogenicity	"human, animal, plant, fungi, bacteria"	M				
Agriculture	pcr_cond		M				
Agriculture	pcr_primers	FWD: forward primer sequence REV:reverse primer sequence	M				
Agriculture	perturbation		C				
Agriculture	pesticide_regm		C				
Agriculture	ph_meth		C				
Agriculture	ph_regm		C				
Agriculture	photosynt_activ	μmol CO2 m-2 s-1	C				#223
Agriculture	photosynt_activ_meth		C				#223
Agriculture	plant_growth_med	hydroponic plant culture media [EO:0007067]	X				#217 & #165
Agriculture	plant_product		C				
Agriculture	plant_struc	epidermis [PO:0005679]	C				#230
Agriculture	plant_water_method	drip irrigation process [AGRO:00000056]	C				
Agriculture	pool_dna_extracts		M				
Agriculture	porosity		X				
Agriculture	pres_animal_insect	cat;5	X				"couldnt this also be covered by the ""observed host symbiont"" field?"
Agriculture	previous_land_use		C				
Agriculture	previous_land_use_meth		C				
Agriculture	profile_position		C				
Agriculture	rel_location	furrow	C				
Agriculture	root_med_carbon	sucrose	X				
Agriculture	root_med_macronutr	KH2PO4;170¬†milligram per liter	X				
Agriculture	root_med_ph	7.5	X				
Agriculture	salt_regm		C				
Agriculture	samp_collect_device	"biopsy, niskin bottle, push core"	M				
Agriculture	samp_collect_method	environmental swab sampling	X				
Agriculture	samp_mat_process	"filtering of seawater, storing samples in ethanol"	M				
Agriculture	samp_pooling		C				
Agriculture	samp_size		M				
Agriculture	samp_stor_temp	-80 degree Celsius	X				
Agriculture	samp_store_dur		M				
Agriculture	samp_store_loc		M				
Agriculture	samp_vol_we_dna_ext		M				
Agriculture	season	autumn [NCIT:C94733]	X				
Agriculture	season_environment		C				
Agriculture	season_humidity	25%	X				
Agriculture	season_precpt		X				#226
Agriculture	season_temp	18 degree Celsius	X				#225
Agriculture	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M				
Agriculture	seq_quality_check		X				
Agriculture	sequencing_location	University of Maryland Genomics Resource Center	X				
Agriculture	sieving		M				
Agriculture	size_frac_low	0.2 micrometer	X				
Agriculture	size_frac_up	20 micrometer	X				
Agriculture	slope_aspect		C				
Agriculture	slope_gradient		C				
Agriculture	soil_conductivity		X				
Agriculture	soil_cover		C				
Agriculture	soil_depth	5 cm	C				
Agriculture	soil_horizon	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]	C				#218
Agriculture	soil_ph		X				
Agriculture	soil_temp	25 degrees Celsius	X				
Agriculture	soil_type		M				
Agriculture	soil_type_meth		M				
Agriculture	solar_irradiance	1.36 kilowatts per square meter per day	X				#209
Agriculture	sop		X				
Agriculture	source_mat_id		X				
Agriculture	specific_host	Homo sapiens and/or 9606	M				
Agriculture	spikein_strain	169963	X				#228
Agriculture	standing_water_regm		C				
Agriculture	store_cond		M				
Agriculture	target_gene	"16S rRNA, 18S rRNA, nif, amoA, rpo"	M				
Agriculture	target_subfragment	"V6, V9, ITS"	M				
Agriculture	temp		M				
Agriculture	texture		X				
Agriculture	texture_meth		X				
Agriculture	tillage		C				
Agriculture	tot_car		C				
Agriculture	tot_n_meth		C				
Agriculture	tot_nitro		C				
Agriculture	tot_org_c_meth		C				
Agriculture	tot_org_carb		C				
Agriculture	tot_phos		C				
Agriculture	trophic_level		C				
Agriculture	url		C				
Agriculture	water_ph	7.2	X				
Agriculture	water_source_shared	no sharing	X				
Agriculture	water_temp_regm		C				
Agriculture	watering_regm		C				
Air	air_particulate_matter_concentration	PM2.5;10 microgram per cubic meter	X				
Air	alt	100 meter	M				
Air	barometric_press	5 millibar	X				
Air	carb_dioxide	410 parts per million	X				
Air	carb_monoxide	0.1 parts per million	X				
Air	chem_administration	agar [CHEBI:2509];2018-05-11T20:00Z	X				
Air	elev	100 meter	C				
Air	humidity	25 gram per cubic meter	X				
Air	methane	1800 parts per billion	X				
Air	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X				
Air	organism_count	total prokaryotes;3.5e7 cells per milliliter;qPCR	X				
Air	oxy_stat_samp	aerobic	X				
Air	oxygen	600 parts per million	X				
Air	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X				
Air	pollutants	lead;0.15 microgram per cubic meter	X				
Air	project_name	Forest soil metagenome	M				
Air	salinity	25 practical salinity unit	X				
Air	samp_name	ISDsoil1	M				
Air	samp_store_dur	P1Y6M	X				
Air	samp_store_loc	Freezer no:5	X				
Air	samp_store_temp	-80 degree Celsius	X				
Air	samp_vol_we_dna_ext	1500 milliliter	X				
Air	solar_irradiance	1.36 kilowatts per square meter per day	X				
Air	temp	25 degree Celsius	X				
Air	ventilation_rate	750 cubic meter per minute	X				
Air	ventilation_type	Operable windows	X				
Air	volatile_org_comp	formaldehyde;500 nanogram per liter	X				
Air	wind_direction	Northwest	X				
Air	wind_speed	21 kilometer per hour	X				
BuiltEnvironment	abs_air_humidity	9 gram per gram	M				
BuiltEnvironment	address		X				
BuiltEnvironment	adj_room		X				
BuiltEnvironment	aero_struc	plane	X				
BuiltEnvironment	air_temp	20 degree Celsius	M				
BuiltEnvironment	amount_light		X				
BuiltEnvironment	arch_struc	shed	X				
BuiltEnvironment	avg_dew_point	25.5 degree Celsius	X				
BuiltEnvironment	avg_occup	2	X				
BuiltEnvironment	avg_temp	12.5 degree Celsius	X				
BuiltEnvironment	bathroom_count	1	X				
BuiltEnvironment	bedroom_count	2	X				
BuiltEnvironment	build_docs	maintenance plans	X				
BuiltEnvironment	build_occup_type	market	M				
BuiltEnvironment	building_setting	rural	M				
BuiltEnvironment	built_struc_age	15	X				
BuiltEnvironment	built_struc_set	rural	X				
BuiltEnvironment	built_struc_type		X				
BuiltEnvironment	carb_dioxide	410 parts per million	M				
BuiltEnvironment	ceil_area	25 square meter	X				
BuiltEnvironment	ceil_cond	damaged	X				
BuiltEnvironment	ceil_finish_mat	stucco	X				
BuiltEnvironment	ceil_struc	concrete	X				
BuiltEnvironment	ceil_texture	popcorn	X				
BuiltEnvironment	ceil_thermal_mass		X				
BuiltEnvironment	ceil_type	coffered	X				
BuiltEnvironment	ceil_water_mold	presence of mold visible	X				
BuiltEnvironment	cool_syst_id	12345	X				
BuiltEnvironment	date_last_rain	2018-05-11:T14:30Z	X				
BuiltEnvironment	dew_point	22 degree Celsius	X				
BuiltEnvironment	door_comp_type	revolving	X				
BuiltEnvironment	door_cond	new	X				
BuiltEnvironment	door_direct	inward	X				
BuiltEnvironment	door_loc	north	X				
BuiltEnvironment	door_mat	wood	X				
BuiltEnvironment	door_move	swinging	X				
BuiltEnvironment	door_size	2.5 square meter	X				
BuiltEnvironment	door_type	wooden	X				
BuiltEnvironment	door_type_metal	hollow	X				
BuiltEnvironment	door_type_wood	battened	X				
BuiltEnvironment	door_water_mold	presence of mold visible	X				
BuiltEnvironment	drawings	sketch	X				
BuiltEnvironment	elevator	2	X				
BuiltEnvironment	escalator	4	X				
BuiltEnvironment	exp_duct		X				
BuiltEnvironment	exp_pipe		X				
BuiltEnvironment	ext_door		X				
BuiltEnvironment	ext_wall_orient	northwest	X				
BuiltEnvironment	ext_window_orient	southwest	X				
BuiltEnvironment	filter_type	HEPA	M				
BuiltEnvironment	fireplace_type	wood burning	X				
BuiltEnvironment	floor_age		X				
BuiltEnvironment	floor_area		X				
BuiltEnvironment	floor_cond	new	X				
BuiltEnvironment	floor_count		X				
BuiltEnvironment	floor_finish_mat	carpet	X				
BuiltEnvironment	floor_struc	concrete	X				
BuiltEnvironment	floor_thermal_mass		X				
BuiltEnvironment	floor_water_mold	ceiling discoloration	X				
BuiltEnvironment	freq_clean		X				#206
BuiltEnvironment	freq_cook		X				
BuiltEnvironment	furniture	chair	X				
BuiltEnvironment	gender_restroom	male	X				
BuiltEnvironment	hall_count		X				
BuiltEnvironment	handidness	right handedness	X				
BuiltEnvironment	heat_cool_type	heat pump	M				
BuiltEnvironment	heat_deliv_loc	north	X				
BuiltEnvironment	heat_sys_deliv_meth	radiant	X				
BuiltEnvironment	heat_system_id		X				
BuiltEnvironment	height_carper_fiber		X				
BuiltEnvironment	indoor_space	foyer	M				
BuiltEnvironment	indoor_surf	wall	E				
BuiltEnvironment	inside_lux		X				
BuiltEnvironment	int_wall_cond	damaged	X				
BuiltEnvironment	last_clean	2018-05-11:T14:30Z	X				
BuiltEnvironment	light_type	desk lamp	M				
BuiltEnvironment	max_occup		X				
BuiltEnvironment	mech_struc	elevator	X				
BuiltEnvironment	number_pets		X				
BuiltEnvironment	number_plants		X				
BuiltEnvironment	number_resident		X				
BuiltEnvironment	occup_density_samp		M				
BuiltEnvironment	occup_document	estimate	X				
BuiltEnvironment	occup_samp	10	M				
BuiltEnvironment	organism_count	total prokaryotes;3.5e7 cells per milliliter;qPCR	M				
BuiltEnvironment	pres_animal_insect	cat;5	X				
BuiltEnvironment	project_name	Forest soil metagenome	M				
BuiltEnvironment	quad_pos	West side	X				
BuiltEnvironment	rel_air_humidity	80%	M				
BuiltEnvironment	rel_humidity_out	12 per kilogram of air	X				
BuiltEnvironment	rel_samp_loc	center of car	X				
BuiltEnvironment	room_air_exch_rate		X				
BuiltEnvironment	room_architec_elem		X				
BuiltEnvironment	room_condt	new	X				
BuiltEnvironment	room_connected	office	X				
BuiltEnvironment	room_count		X				
BuiltEnvironment	room_dim		X				
BuiltEnvironment	room_door_dist		X				
BuiltEnvironment	room_door_share		X				
BuiltEnvironment	room_hallway		X				
BuiltEnvironment	room_loc	interior room	X				
BuiltEnvironment	room_moist_dam_hist		X				
BuiltEnvironment	room_net_area		X				
BuiltEnvironment	room_occup		X				
BuiltEnvironment	room_samp_pos	south corner	X				
BuiltEnvironment	room_type	bathroom	X				
BuiltEnvironment	room_vol		X				
BuiltEnvironment	room_wall_share		X				
BuiltEnvironment	room_window_count		X				
BuiltEnvironment	samp_floor	4th floor	X				
BuiltEnvironment	samp_name	ISDsoil1	M				
BuiltEnvironment	samp_room_id		X				
BuiltEnvironment	samp_sort_meth		X				
BuiltEnvironment	samp_time_out		X				
BuiltEnvironment	samp_weather	foggy	X				
BuiltEnvironment	season	autumn [NCIT:C94733]	X				
BuiltEnvironment	season_use	Winter	X				
BuiltEnvironment	shad_dev_water_mold	no presence of mold visible	X				
BuiltEnvironment	shading_device_cond	new	X				
BuiltEnvironment	shading_device_loc	exterior	X				
BuiltEnvironment	shading_device_mat		X				
BuiltEnvironment	shading_device_type	slatted aluminum awning	X				
BuiltEnvironment	space_typ_state	typically occupied	M				
BuiltEnvironment	specific	construction	X				
BuiltEnvironment	specific_humidity	15 per kilogram of air	X				
BuiltEnvironment	substructure_type	basement	X				
BuiltEnvironment	surf_air_cont	radon	E				
BuiltEnvironment	surf_humidity	10%	E				
BuiltEnvironment	surf_material	wood	E				
BuiltEnvironment	surf_moisture	0.01 gram per square meter	E				
BuiltEnvironment	surf_moisture_ph	7	E				
BuiltEnvironment	surf_temp	15 degree Celsius	E				
BuiltEnvironment	temp_out	5 degree Celsius	X				
BuiltEnvironment	train_line	red	X				
BuiltEnvironment	train_stat_loc	forest hills	X				
BuiltEnvironment	train_stop_loc	end	X				
BuiltEnvironment	typ_occup_density	25	M				
BuiltEnvironment	ventilation_type	Operable windows	M				
BuiltEnvironment	vis_media	3D scans	X				
BuiltEnvironment	wall_area		X				
BuiltEnvironment	wall_const_type	fire resistive	X				
BuiltEnvironment	wall_finish_mat	wood	X				
BuiltEnvironment	wall_height		X				
BuiltEnvironment	wall_loc	north	X				
BuiltEnvironment	wall_surf_treatment	paneling	X				
BuiltEnvironment	wall_texture	popcorn	X				
BuiltEnvironment	wall_thermal_mass		X				
BuiltEnvironment	wall_water_mold	no presence of mold visible	X				
BuiltEnvironment	water_feat_size		X				
BuiltEnvironment	water_feat_type	stream	X				
BuiltEnvironment	weekday	Sunday	X				
BuiltEnvironment	window_cond	rupture	X				
BuiltEnvironment	window_cover	curtains	X				
BuiltEnvironment	window_horiz_pos	middle	X				
BuiltEnvironment	window_loc	west	X				
BuiltEnvironment	window_mat	wood	X				
BuiltEnvironment	window_open_freq		X				
BuiltEnvironment	window_size		X				
BuiltEnvironment	window_status	open	X				
BuiltEnvironment	window_type	fixed window	X				
BuiltEnvironment	window_vert_pos	middle	X				
BuiltEnvironment	window_water_mold	no presence of mold visible	X				
FoodAnimalAndAnimalFeed	animal_am	tetracycline	X				
FoodAnimalAndAnimalFeed	animal_am_dur	3 days	X				
FoodAnimalAndAnimalFeed	animal_am_freq	once daily	X				
FoodAnimalAndAnimalFeed	animal_am_route	oral-feed	X				
FoodAnimalAndAnimalFeed	animal_am_use	shipping fever	X				
FoodAnimalAndAnimalFeed	animal_body_cond	under conditioned	X				
FoodAnimalAndAnimalFeed	animal_diet	Hay [FOODON:03301763]	X				
FoodAnimalAndAnimalFeed	animal_feed_equip	self feeding [EOL:0001645]| straight feed trough [EOL:0001661]	X				
FoodAnimalAndAnimalFeed	animal_group_size	80	X				
FoodAnimalAndAnimalFeed	animal_housing	pen rearing system [EOL:0001636]	X				
FoodAnimalAndAnimalFeed	animal_sex	castrated male	X				
FoodAnimalAndAnimalFeed	bacterial_density	10 colony forming units per gram dry weight	X				
FoodAnimalAndAnimalFeed	coll_site_geo_feat	grocery store [GENEPIO:0001020]	M				
FoodAnimalAndAnimalFeed	collection_date	2018-05-11T10:00:00+01:00	M				
FoodAnimalAndAnimalFeed	cons_food_stor_dur	P5D	X				
FoodAnimalAndAnimalFeed	cons_food_stor_temp	4 degree Celsius	X				
FoodAnimalAndAnimalFeed	cons_purch_date	11/30/19	X				
FoodAnimalAndAnimalFeed	cons_qty_purchased	5 cans	X				
FoodAnimalAndAnimalFeed	cult_isol_date	2018-05-11T10:00:00+01:00	X				
FoodAnimalAndAnimalFeed	cult_result	positive	X				
FoodAnimalAndAnimalFeed	cult_result_org	Listeria monocytogenes [NCIT:C86502]	X				
FoodAnimalAndAnimalFeed	cult_target	Listeria monocytogenes [NCIT:C86502]	X				
FoodAnimalAndAnimalFeed	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X				
FoodAnimalAndAnimalFeed	env_broad_scale	forest biome [ENVO:01000174]	M				
FoodAnimalAndAnimalFeed	env_local_scale	litter layer [ENVO:01000338]	M				
FoodAnimalAndAnimalFeed	env_medium	soil [ENVO:00001998]	M				
FoodAnimalAndAnimalFeed	experimental_factor	time series design [EFO:0001779]	X				
FoodAnimalAndAnimalFeed	food_additive	xanthan gum [FOODON:03413321]	X				
FoodAnimalAndAnimalFeed	food_contact_surf	cellulose acetate [FOODON:03500034]	X				
FoodAnimalAndAnimalFeed	food_contain_wrap	Plastic shrink-pack [FOODON:03490137]	X				
FoodAnimalAndAnimalFeed	food_cooking_proc	food blanching [FOODON:03470175]	X				
FoodAnimalAndAnimalFeed	food_dis_point	"USA:Delmarva, Peninsula"	X				
FoodAnimalAndAnimalFeed	food_dis_point_city	Atlanta[GAZ:00004445]	X				
FoodAnimalAndAnimalFeed	food_ingredient	bean (whole) [FOODON:00002753]	X				
FoodAnimalAndAnimalFeed	food_origin	"USA:Delmarva, Peninsula"	M				
FoodAnimalAndAnimalFeed	food_pack_capacity	454 grams	X				
FoodAnimalAndAnimalFeed	food_pack_integrity	food packing medium compromised [FOODON:00002517]	X				
FoodAnimalAndAnimalFeed	food_pack_medium	packed in fruit juice [FOODON:03480039]	X				
FoodAnimalAndAnimalFeed	food_preserv_proc	food slow freezing [FOODON:03470128]	X				
FoodAnimalAndAnimalFeed	food_prior_contact	processed in stainless steel container [FOODON:03530081]	X				
FoodAnimalAndAnimalFeed	food_prod	organic plant cultivation [FOODON:03530253]	M				
FoodAnimalAndAnimalFeed	food_prod_synonym	pinot gris	X				
FoodAnimalAndAnimalFeed	food_product_qual	raw [FOODON:03311126]	X				
FoodAnimalAndAnimalFeed	food_product_type	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M				
FoodAnimalAndAnimalFeed	food_quality_date	best by 2020-05-24	X				
FoodAnimalAndAnimalFeed	food_source	giant tiger prawn [FOODON:03412612]	X				#252
FoodAnimalAndAnimalFeed	food_source_age	P6M	X				
FoodAnimalAndAnimalFeed	food_trace_list	tropical tree fruits	X				
FoodAnimalAndAnimalFeed	food_trav_mode	train travel [GENEPIO:0001060]	X				
FoodAnimalAndAnimalFeed	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X				
FoodAnimalAndAnimalFeed	food_treat_proc	gluten removal process [FOODON:03460750]	X				
FoodAnimalAndAnimalFeed	geo_loc_name	"USA: Maryland, Bethesda"	M				
FoodAnimalAndAnimalFeed	haccp_term	tetrodotoxic poisoning [FOODON:03530249]	X				
FoodAnimalAndAnimalFeed	ifsac_category	Plants:Produce:Vegetables:Herbs:Dried Herbs	M				
FoodAnimalAndAnimalFeed	intended_consumer	9606 o rsenior as food consumer [FOODON:03510254] 	M				
FoodAnimalAndAnimalFeed	lat_lon	50.586825 6.408977	M				
FoodAnimalAndAnimalFeed	library_prep_kit	Illumina DNA Prep	X				
FoodAnimalAndAnimalFeed	lot_number	"1239ABC01A, split Cornish hens"	X				
FoodAnimalAndAnimalFeed	microb_cult_med	brain heart infusion agar [MICRO:0000566]	X				
FoodAnimalAndAnimalFeed	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X				
FoodAnimalAndAnimalFeed	nucl_acid_ext	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X				
FoodAnimalAndAnimalFeed	organism_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X				
FoodAnimalAndAnimalFeed	part_plant_animal	chuck [FOODON:03530021]	X				
FoodAnimalAndAnimalFeed	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X				
FoodAnimalAndAnimalFeed	pool_dna_extracts	"yes, 5"	X				
FoodAnimalAndAnimalFeed	project_name	Forest soil metagenome	M				 
FoodAnimalAndAnimalFeed	repository_name	FDA CFSAN Microbiology Laboratories	X				
FoodAnimalAndAnimalFeed	samp_collect_device	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X				
FoodAnimalAndAnimalFeed	samp_collect_method	environmental swab sampling	X				
FoodAnimalAndAnimalFeed	samp_name	ISDsoil1	M				
FoodAnimalAndAnimalFeed	samp_pooling	5uL of extracted genomic DNA from 5 leaves were pooled	X				
FoodAnimalAndAnimalFeed	samp_purpose	field trial	M				
FoodAnimalAndAnimalFeed	samp_rep_biol	6 replicates	X				
FoodAnimalAndAnimalFeed	samp_rep_tech	10 replicates	X				
FoodAnimalAndAnimalFeed	samp_size	5 liters	X				
FoodAnimalAndAnimalFeed	samp_source_mat_cat	environmental (swab or sampling) [GENEPIO:0001732]	X				
FoodAnimalAndAnimalFeed	samp_stor_device	Whirl Pak sampling bag [GENEPIO:0002122]	X				
FoodAnimalAndAnimalFeed	samp_stor_dur	P1Y6M	X				
FoodAnimalAndAnimalFeed	samp_stor_loc	freezer 5	X				
FoodAnimalAndAnimalFeed	samp_stor_media	peptone water medium [MICRO:0000548]	X				
FoodAnimalAndAnimalFeed	samp_stor_temp	-80 degree Celsius	X				
FoodAnimalAndAnimalFeed	samp_transport_cont	cooler	X				
FoodAnimalAndAnimalFeed	samp_transport_cont	cooler	X				
FoodAnimalAndAnimalFeed	samp_transport_dur	P10D	X				
FoodAnimalAndAnimalFeed	samp_transport_temp	4 degree Celsius	X				
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	1500 milliliter	X				
FoodAnimalAndAnimalFeed	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M				
FoodAnimalAndAnimalFeed	sequencing_kit	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X				
FoodAnimalAndAnimalFeed	sequencing_location	University of Maryland Genomics Resource Center	X				
FoodAnimalAndAnimalFeed	serovar_or_serotype	Escherichia coli strain O157:H7 [NCIT:C86883]	X				
FoodAnimalAndAnimalFeed	spikein_amr	wild type [ARO:3004432]	X				
FoodAnimalAndAnimalFeed	spikein_antibiotic	Tetracycline at 5 mg/ml	X				
FoodAnimalAndAnimalFeed	spikein_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X				
FoodAnimalAndAnimalFeed	spikein_growth_med	LB broth [MCO:0000036]	X				
FoodAnimalAndAnimalFeed	spikein_metal	Cd at 20 ppm	X				
FoodAnimalAndAnimalFeed	spikein_org	Listeria monocytogenes [NCIT:C86502]|28901	X				
FoodAnimalAndAnimalFeed	spikein_serovar	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X				
FoodAnimalAndAnimalFeed	spikein_strain	169963	X				
FoodAnimalAndAnimalFeed	study_design	in vitro design [OBI:0001285]	X				
FoodAnimalAndAnimalFeed	study_inc_dur	P24H	X				
FoodAnimalAndAnimalFeed	study_inc_temp	37 degree Celsius	X				
FoodAnimalAndAnimalFeed	study_timecourse	2 days post inoculation	X				
FoodAnimalAndAnimalFeed	study_tmnt	"Factor A|spike-in|levels high, medium, low"	X				
FoodAnimalAndAnimalFeed	temp	25 degree Celsius	X				
FoodAnimalAndAnimalFeed	timepoint	P24H	X				
FoodFarmEnvironment	adjacent_environment	estuarine biome [ENVO:01000020]	X				
FoodFarmEnvironment	air_flow_impede	obstructed;hay bales; 2 m	X				
FoodFarmEnvironment	air_pm_concen	PM2.5;10 microgram per cubic meter	X				
FoodFarmEnvironment	ances_data	A/3*B	X				
FoodFarmEnvironment	anim_water_method	water trough [EOL:0001618]	X				
FoodFarmEnvironment	animal_diet	Hay [FOODON_03301763]	X				
FoodFarmEnvironment	animal_feed_equip	self feeding [EOL:0001645]| straight feed trough [EOL:0001661]	X				
FoodFarmEnvironment	animal_group_size	80	X				
FoodFarmEnvironment	animal_housing	pen rearing system [EOL:0001636]	X				
FoodFarmEnvironment	animal_intrusion	Thripidae [NCBITaxon:45053]	X				
FoodFarmEnvironment	biotic_regm	sample inoculated with Rhizobium spp. Culture	M				
FoodFarmEnvironment	chem_administration	agar [CHEBI:2509];2018-05-11T20:00Z	M				
FoodFarmEnvironment	collection_date	2018-05-11T10:00:00+01:00	M				
FoodFarmEnvironment	conduc	10 milliSiemens per centimeter	X				
FoodFarmEnvironment	crop_rotation	yes;R2/2017-01-01/2018-12-31/P6M	X				
FoodFarmEnvironment	crop_yield	570 kilogram per metre square	X				
FoodFarmEnvironment	cult_isol_date	2018-05-11T10:00:00+01:00	X				
FoodFarmEnvironment	cult_result	positive	X				
FoodFarmEnvironment	cult_result_org	Listeria monocytogenes [NCIT:C86502]	X				
FoodFarmEnvironment	cult_target	Listeria monocytogenes [NCIT:C86502]	X				
FoodFarmEnvironment	date_extr_weath	2018-05-11:T14:30Z	X				
FoodFarmEnvironment	depth	10 meter	M				
FoodFarmEnvironment	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X				
FoodFarmEnvironment	env_broad_scale	forest biome [ENVO:01000174]	M				
FoodFarmEnvironment	env_local_scale	litter layer [ENVO:01000338]	M				
FoodFarmEnvironment	env_medium	soil [ENVO:00001998]	M				
FoodFarmEnvironment	extr_weather_event	hail	X				
FoodFarmEnvironment	farm_equip	combine harvester [AGRO:00000473]	X				
FoodFarmEnvironment	farm_equip_san	"hot water pressure wash, hypochlorite solution, 50 parts per million"	X				
FoodFarmEnvironment	farm_equip_san_freq	Biweekly	X				
FoodFarmEnvironment	farm_equip_shared	combine harvester [AGRO:00000473]	X				
FoodFarmEnvironment	farm_water_source	water well (ENVO:01000002)	C				
FoodFarmEnvironment	fertilizer_admin	fish emulsion [AGRO:00000082]	X				
FoodFarmEnvironment	fertilizer_date	2018-05-11T10:00:00+01:00	X				
FoodFarmEnvironment	food_clean_proc	rinsed with water|scrubbed with brush	X				
FoodFarmEnvironment	food_contact_surf	cellulose acetate [FOODON:03500034]	X				
