harmonized_name,count
smoker,14412
host_last_meal,14286
rel_air_humidity,14141
occup_samp,14050
conduc,13895
space_typ_state,13842
silicate,13823
light_type,13800
filter_type,13748
type_status,13742
diss_org_carb,13737
typ_occupant_dens,13706
ventilation_type,13699
date_of_sars_cov_2_vaccination,13632
carb_dioxide,13590
abs_air_humidity,13523
heat_cool_type,13498
occupant_dens_samp,13498
antiviral_treatment_agent,13242
host_recent_travel_loc,13060
subsrc_note,13040
component_organism,12936
diss_carb_dioxide,12638
chloride,12522
calcium,12511
host_anatomical_material,12430
tot_mass,12395
geo_loc_exposure,12040
virus_isolate_of_prior_infection,11989
host_length,11642
exposure_event,11562
date_of_prior_sars_cov_2_infection,11537
date_of_prior_antiviral_treat,11470
host_recent_travel_return_date,11433
host_color,11352
crop_rotation,11254
potassium,11222
magnesium,11154
soil_horizon,11053
nitro,11040
sewage_type,10998
samp_salinity,10847
host_occupation,10721
plant_product,10484
sodium,10469
clone,10337
substrate,10002
fertilizer_regm,10001
field,9967
tot_n_meth,9636
density,9450
ww_pre_treatment,9370
tot_org_c_meth,9368
water_content_soil_meth,9092
subspecf_gen_lin,8984
growth_med,8787
medic_hist_perform,8736
pool_dna_extracts,8680
diss_inorg_carb,8637
tissue_lib,8609
wastewater_type,8385
climate_environment,8383
growth_facil,8109
trophic_level,8081
host_growth_cond,7953
alkalinity,7919
soil_type_meth,7766
fao_class,7728
host_pulse,7705
pregnancy,7567
tot_depth_water_col,7535
methane,7301
org_matter,7232
org_carb,7177
soil_texture_meth,7113
microbial_biomass,6986
ww_endog_control_1,6875
special_diet,6874
host_substrate,6823
microbial_biomass_meth,6707
local_class,6690
pathovar,6666
size_frac_low,6539
previous_land_use,6434
water_temp_regm,6412
reactor_type,6380
risk_group,6336
gravidity,6283
host_hiv_stat,6237
tot_diss_nitro,6236
pathogenicity,6088
extreme_event,6044
pressure,5984
tot_phosp,5919
gestation_state,5834
ww_temperature,5783
ihmc_medication_code,5668
size_frac_up,5648
ww_surv_target_2_conc_unit,5541
extrachrom_elements,5522
season_environment,5509
fluor,5346
drug_usage,5160
fungicide_regm,5074
birth_control,5039
ww_endog_control_1_protocol,4934
ifsac_category,4865
drainage_class,4857
hiv_stat,4853
host_dry_mass,4827
fire,4819
host_shape,4763
ww_surv_target_2_gene,4685
redox_potential,4682
ww_surv_target_2,4681
ww_surv_target_2_conc,4657
sulfide,4633
biomass,4625
local_class_meth,4555
ww_surv_target_2_known_present,4477
pulmonary_disord,4409
bromide,4116
ww_ph,4103
super_population_code,4070
water_content,4056
orgmod_note,3996
pet_farm_animal,3986
ww_endog_control_1_units,3963
samp_collect_method,3912
dermatology_disord,3845
narms_isolate_number,3746
diss_org_nitro,3717
tot_carb,3703
liver_disord,3676
ww_endog_control_1_conc,3636
org_nitro,3632
sars_cov_2_diag_pcr_ct_value_2,3448
diss_hydrogen,3333
douche,3301
phosplipid_fatt_acid,3286
host_blood_press_diast,3165
part_org_carb,3144
diether_lipids,3130
morphology,3122
encoded_traits,3093
gynecologic_disord,3074
prior_sars_cov_2_vaccination,3061
host_blood_press_syst,3055
carb_nitro_ratio,2994
growth_medium,2958
water_current,2946
slope_gradient,2880
neg_cont_type,2831
mineral_nutr_regm,2788
weekday,2784
menopause,2745
al_sat,2744
forma_specialis,2698
phaeopigments,2690
cur_vegetation_meth,2685
pos_cont_type,2647
population_description,2621
tillage,2606
super_population_description,2583
biovar,2571
sars_cov_2_diag_gene_name_2,2507
biol_stat,2507
ph_regm,2488
flooding,2483
antibiotic_regm,2470
slope_aspect,2444
link_climate_info,2439
diss_inorg_phosp,2424
pre_treatment,2392
mechanical_damage,2371
extreme_salinity,2367
rainfall_regm,2355
humidity_regm,2347
radiation_regm,2301
ww_industrial_effluent_percent,2286
light_intensity,2248
gaseous_environment,2239
salinity_meth,2234
food_source,2227
animal_env,2205
soil_ph,2177
host_number,2156
diss_inorg_nitro,2155
tidal_stage,2114
profile_position,2105
part_org_nitro,2083
travel_out_six_month,2074
herbicide_regm,2066
serogroup,2065
bacteria_carb_prod,2049
al_sat_meth,2025
sexual_act,2011
light_regm,1986
lot_number,1984
menarche,1928
study_complt_stat,1924
heavy_metals,1913
link_addit_analys,1860
amniotic_fluid_color,1850
salt_regm,1845
turbidity,1809
surf_material,1806
sludge_retent_time,1803
host_wet_mass,1799
pulse,1775
hysterectomy,1760
diet_last_six_month,1759
nose_mouth_teeth_throat_disord,1737
food_product_type,1728
ww_surv_target_1_extract_unit,1724
weight_loss_3_month,1713
hrt,1699
chem_mutagen,1666
room_type,1657
tot_part_carb,1618
indoor_surf,1609
authority,1598
ww_surv_target_1_extract,1589
non_mineral_nutr_regm,1588
soluble_react_phosp,1584
suspend_part_matter,1575
previous_land_use_meth,1564
horizon_meth,1563
secondary_treatment,1559
standing_water_regm,1556
gravity,1545
surf_temp,1532
pesticide_regm,1523
growth_hormone_regm,1516
urine_collect_meth,1511
annual_temp,1508
barometric_press,1486
tiss_cult_growth_med,1485
type_strain,1481
annual_precpt,1471
petroleum_hydrocarb,1432
biotic_regm,1418
link_class_info,1411
maternal_health_stat,1389
porosity,1369
dry_mass,1355
aminopept_act,1329
chem_oxygen_dem,1327
haplotype,1316
time_since_last_wash,1304
heavy_metals_meth,1300
coll_site_geo_feat,1292
bac_prod,1271
mean_peak_frict_vel,1268
ww_primary_sludge_retention_time,1254
urogenit_tract_disor,1240
ferm_time,1223
alkyl_diethers,1218
n_alkanes,1200
subclone,1191
host_subspecf_genlin,1188
image_file,1176
mean_frict_vel,1174
ww_total_suspended_solids,1174
suspend_solids,1141
urogenit_disord,1135
glucosidase_act,1131
bishomohopanol,1131
cult_result,1125
ww_surv_target_2_protocol,1107
primary_prod,1106
kidney_disord,1099
last_meal,1085
ww_sample_salinity,1063
samp_subtype,1057
atmospheric_data,1048
primary_treatment,1046
forma,1026
surf_moisture,1012
down_par,1012
teleomorph,1011
water_ph,1001
ww_surv_target_2_extract_unit,998
twin_sibling,990
outbreak,960
ww_endog_control_2_units,941
nose_throat_disord,930
anamorph,926
carbapenemase,917
time_last_toothbrush,904
bac_resp,860
foetal_health_stat,846
edta_inhibitor_tested,843
beta_lactamase_family,843
ww_endog_control_2,811
ww_endog_control_2_conc,802
tot_inorg_nitro,801
soil_texture_class,797
photon_flux,756
ww_endog_control_2_protocol,732
blood_blood_disord,722
wind_speed,711
samp_mat_type,706
host_housing,635
intended_consumer,608
soil_depth,605
additional_info,590
food_origin,589
dew_point,578
host_variety,573
chem_treatment,563
host_dependence,544
sym_life_cycle_type,544
samp_sort_meth,538
samp_collect_point,528
tot_nitro_cont_meth,505
tot_phosphate,504
number_pets,490
biochem_oxygen_dem,487
sediment_type,479
soil_temp,463
efficiency_percent,438
ances_data,437
particle_class,436
tertiary_treatment,418
food_prod_char,408
gaseous_substances,369
root_cond,365
season_temp,355
same_as,334
root_med_ph,327
reference_material,324
samp_rep_tech,318
soluble_org_mat,317
fertilizer_admin,306
humidity,305
type_of_symbiosis,304
route_transmission,304
mode_transmission,304
soluble_inorg_mat,302
tot_iron,301
growth_habit,300
indust_eff_percent,293
inorg_particles,288
tot_sulfur,282
cult_root_med,278
permeability,261
root_med_macronutr,253
cult_isol_date,250
host_symbiont,245
child_of,226
root_med_carbon,220
occupation,212
root_med_micronutr,211
infra_specific_rank,211
samp_dis_stage,195
org_particles,194
emulsions,194
surf_air_cont,170
prior_sars_cov_2_antiviral_treat,164
root_med_solid,160
surf_humidity,159
substructure_type,159
surf_moisture_ph,159
microb_cult_med,157
avg_temp,157
samp_transport_temp,150
pollutants,147
ww_surv_target_2_extract,142
season_precpt,125
root_med_regl,116
ethylbenzene,115
benzene,115
toluene,115
wind_direction,112
study_inc_dur,107
spikein_org,107
address,102
ferm_ph,100
samp_pooling,96
enrichment_protocol,95
food_product_qual,94
food_contact_surf,94
samp_stor_media,94
samp_stor_device,94
samp_source_mat_cat,94
animal_diet,93
specific,88
plant_sex,83
lithology,76
clone_lib,74
ventilation_rate,71
root_med_suppl,70
facility_type,68
vfa,65
study_inc_temp,59
association_duration,49
tan,48
gender_restroom,40
adj_room,40
location_in_facility,39
air_pm_concen,39
prior_sars_cov_2_infection,38
solar_irradiance,37
window_open_freq,36
food_treat_proc,29
food_type_processed,28
wet_mass,27
alkalinity_method,22
samp_rep_biol,18
ferm_temp,11
cons_food_stor_dur,9
part_plant_animal,9
host_animal_breed,7
affection_status,7
food_industry_code,7
original_subject_id,7
food_ingredient,2
host_group_size,1
cult_result_org,1
biocide_used,1
cons_qty_purchased,1
cons_purch_date,1
ferm_vessel,1
cons_food_stor_temp,1
animal_intrusion,1
bacterial_density,1
extr_weather_event,1
env_monitoring_zone,1
dietary_claim_use,1
farm_equip,1
farm_water_source,1
ferm_medium,1
