enum	permissible_values	suspect	single	source
cur_land_use_enum	rangeland	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	roads/railroads	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	rock	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	row crops	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	saline seeps	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	salt flats	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	sand	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"shrub crops (blueberries,nursery ornamentals,filberts)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"shrub land (e.g. mesquite,sage-brush,creosote bush,shrub oak,eucalyptus)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	small grains	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"successional shrub land (tree saplings,hazels,sumacs,chokecherry,shrub dogwoods,blackberries)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	swamp (permanent or semi-permanent water body dominated by woody plants)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"tropical (e.g. mangrove,palms)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	"tundra (mosses,lichens)"	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	vegetable crops	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
cur_land_use_enum	vine crops (grapes)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
decontam_software_enum	acdc	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	anvi'o	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	bbtools:decontaminate.sh	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	checkm/refinem	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	combination	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
decontam_software_enum	prodege	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
detec_type_enum	independent sequence (UViG)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
detec_type_enum	provirus (UpViG)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
drug_usage_enum	{text};{integer}/year	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
drug_usage_enum	day	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
drug_usage_enum	hour	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
drug_usage_enum	month	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
drug_usage_enum	week	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
experimental_factor_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
experimental_factor_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
floor_finish_mat_enum	bamboo	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	carpet	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	clear finish	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	concrete	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	cork	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	laminate wood	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	lineoleum	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	none;specify unfinished	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	paint	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	rug	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	sealed	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	sheet vinyl	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	stone	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	terrazo	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	tile	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	vinyl composition tile	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
floor_finish_mat_enum	wood strip or parquet	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
food_quality_date_enum	best by	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
food_quality_date_enum	best if used by	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
food_quality_date_enum	freeze by	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
food_quality_date_enum	use by; date	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
food_quality_date_enum		TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_cult_med_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_cult_med_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_count_enum	{text};{float} {unit};ATP	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_count_enum	MPN	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_count_enum	other	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_count_enum	qPCR	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_count_enum	spread plate	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_enum	{term label} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_tax_id_enum	{integer}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
microb_start_tax_id_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
nucl_acid_amp_enum	{DOI}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_amp_enum	{PMID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_amp_enum	{URL}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_ext_enum	{DOI}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_ext_enum	{PMID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
nucl_acid_ext_enum	{URL}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
part_plant_animal_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
part_plant_animal_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
ph_meth_enum	{DOI}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
ph_meth_enum	{PMID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
ph_meth_enum	{URL}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
photosynt_activ_meth_enum	{DOI}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
photosynt_activ_meth_enum	{PMID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
photosynt_activ_meth_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
photosynt_activ_meth_enum	{URL}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
pred_genome_type_enum	DNA	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	dsDNA	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	dsRNA	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	mixed	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	RNA	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	ssDNA	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	ssRNA	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	ssRNA (-)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	ssRNA (+)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pred_genome_type_enum	uncharacterized	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
pres_animal_insect_enum	cat	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
pres_animal_insect_enum	dog	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
pres_animal_insect_enum	other;{integer}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
pres_animal_insect_enum	rodent	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
pres_animal_insect_enum	snake	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_md_enum	{float} {unit};GL	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_md_enum	DF	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_md_enum	KB	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_md_enum	MSL	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_md_enum	other	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_md_enum	RT	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	active surveillance in response to an outbreak	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	active surveillance not initiated by an outbreak	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	clinical trial	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	cluster investigation	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	environmental assessment	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	farm sample	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	field trial	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	for cause	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	industry internal investigation	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	market sample	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	passive surveillance	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	population based studies	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	research	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_purpose_enum	research and development or {text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_stor_device_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_stor_device_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_stor_media_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
samp_stor_media_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
seq_meth_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
seq_meth_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
serovar_or_serotype_enum	{integer}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
serovar_or_serotype_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
sieving_enum	{{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
sieving_enum	{float} {unit}};{float} {unit}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
soil_texture_meth_enum	{DOI}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
soil_texture_meth_enum	{PMID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
soil_texture_meth_enum	{URL}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
soil_type_meth_enum	{DOI}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
soil_type_meth_enum	{PMID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
soil_type_meth_enum	{URL}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_conflicting_defer_to_soil
sop_enum	{DOI}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sop_enum	{PMID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
sop_enum	{URL}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	isolate microbial genome	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	metagenome (not viral targeted)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	metatranscriptome (not viral targeted)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	microbial single amplified genome (SAG)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	other	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	sequence-targeted metagenome	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	sequence-targeted RNA metagenome	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	viral fraction metagenome (virome)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	viral fraction RNA metagenome (RNA virome)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
source_uvig_enum	viral single amplified genome (vSAG)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
special_diet_enum	low carb	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
special_diet_enum	other(to be specified)	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
special_diet_enum	reduced calorie	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
special_diet_enum	vegetarian	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
specific_host_enum	{NCBI taxid}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
specific_host_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_Core-Final_clean_slotdefs
spikein_count_enum	{text};{float} {unit};ATP	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_count_enum	MPN	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_count_enum	other	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_count_enum	qPCR	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_growth_med_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_growth_med_enum	{text}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_org_enum	{integer}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_org_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_serovar_enum	{integer}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_serovar_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_strain_enum	{integer}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
spikein_strain_enum	{termLabel} {termID}	TRUE	FALSE	MIxS_6_term_updates_MIxS6_packages-Final_clean_slotdefs_non_conflicting_shared
