host_spec_range	host specificity or range	"The range and diversity of host species that an organism is capable of infecting, defined by NCBI taxonomy identifier."			R	R	R
isol_growth_condt	isolation and growth condition	"Publication reference in the form of pubmed ID (pmid), digital object identifier (doi) or url for isolation and growth condition specifications of the organism/material"					
mag_cov_software	MAG coverage software	Tool(s) used to determine the genome coverage if coverage is used as a binning parameter in the extraction of genomes from metagenomic datasets					
num_replicons	number of replicons	"Reports the number of replicons in a nuclear genome of eukaryotes, in the genome of a bacterium or archaea or the number of segments in a segmented virus. Always applied to the haploid chromosome count of a eukaryote"					M
otu_class_appr	OTU classification approach	"Cutoffs and approach used when clustering �species-level� OTUs. Note that results from standard 95% ANI / 85% AF clustering should be provided alongside OTUS defined from another set of thresholds, even if the latter are the ones primarily used during the analysis"	M	M	M	M	M
otu_db	OTU database	"Reference database (i.e. sequences not generated as part of the current study) used to cluster new genomes in ""species-level"" OTUs, if any"	O	O	O	O	O
otu_seq_comp_appr	OTU sequence comparison approach	"Tool and thresholds used to compare sequences when computing ""species-level"" OTUs"	M	R	-	-	-
pathogenicity	known pathogenicity	To what is the entity pathogenic	M	O	-	-	-
pcr_cond	pcr conditions	Description of reaction conditions and components of PCR in the form of 'initial denaturation:94degC_1.5min; annealing=...'	M	R	-	-	-
pcr_primers	pcr primers	"PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment. This field should contain all the primers used for a single PCR reaction if multiple forward or reverse primers are present in a single PCR reaction. The primer sequence should be reported in uppercase letters"	-	-	R	R	R
ploidy	ploidy	"The ploidy level of the genome (e.g. allopolyploid, haploid, diploid, triploid, tetraploid). It has implications for the downstream study of duplicated gene and regions of the genomes (and perhaps for difficulties in assembly). For terms, please select terms listed under class ploidy (PATO:001374) of Phenotypic Quality Ontology (PATO), and for a browser of PATO (v 2018-03-27) please refer to http://purl.bioontology.org/ontology/PATO"			R	R	R
pred_genome_struc	predicted genome structure	Expected structure of the viral genome			R	R	R
pred_genome_type	predicted genome type	Type of genome predicted for the UViG					
propagation	propagation	The type of reproduction from the parent stock. Values for this field is specific to different taxa. For phage or virus: lytic/lysogenic/temperate/obligately lytic. For plasmids: incompatibility group. For eukaryotes: sexual/asexual.					
reassembly_bin	reassembly post binning	Has an assembly been performed on a genome bin extracted from a metagenomic assembly?					M
seq_quality_check	sequence quality check	"Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms). Applied only for sequences that are not submitted to SRA,ENA or DRA"	M	M	M	M	M
single_cell_lysis_appr	single cell or viral particle lysis approach	Method used to free DNA from interior of the cell(s) or particle(s)	O	O	O	O	O
single_cell_lysis_prot	single cell or viral particle lysis kit protocol	Name of the kit or standard protocol used for cell(s) or particle(s) lysis	M	R	-	-	-
sort_tech	sorting technology	Method used to sort/isolate cells or particles of interest	M	O	-	-	-
source_uvig	source of UViGs	Type of dataset from which the UViG was obtained	M	R	-	-	-
specific_host	host scientific name	Report the host's taxonomic name and/or NCBI taxonomy ID.	-	-	R	R	R
subspecf_gen_lin	subspecific genetic lineage	"Information about the genetic distinctness of the sequenced organism below the subspecies level, e.g., serovar, serotype, biotype, ecotype, or any relevant genetic typing schemes like Group I plasmid. Subspecies should not be recorded in this term, but in the NCBI taxonomy. Supply both the lineage name and the lineage rank separated by a colon, e.g., biovar:abc123."			R	R	R
target_gene	target gene	Targeted gene or locus name for marker gene studies			R	R	R
target_subfragment	target subfragment	Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes like V6 on 16S rRNA					
tax_ident	taxonomic identity marker	The phylogenetic marker(s) used to assign an organism name to the SAG or MAG					
trna_ext_software	tRNA extraction software	Tools used for tRNA identification					M
trnas	number of standard tRNAs extracted	The total number of tRNAs identified from the SAG or MAG	M	M	M	M	M
trophic_level	trophic level	Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph)	O	O	O	O	O
vir_ident_software	viral identification software	"Tool(s) used for the identification of UViG as a viral genome, software or protocol name including version number, parameters, and cutoffs used"	M	R	-	-	-
virus_enrich_appr	virus enrichment approach	"List of approaches used to enrich the sample for viruses, if any"	M	O	-	-	-
wga_amp_appr	WGA amplification approach	Method used to amplify genomic DNA in preparation for sequencing	M	R	-	-	-
wga_amp_kit	WGA amplification kit	Kit used to amplify genomic DNA in preparation for sequencing	-	-	R	R	R
x_16s_recover	16S recovered	Can a 16S gene be recovered from the submitted SAG or MAG?			R	R	R
x_16s_recover_software	16S recovery software	Tools used for 16S rRNA gene extraction			R	R	R
adapters	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters					
annot	annotation	"Tool used for annotation, or for cases where annotation was provided by a community jamboree or model organism database rather than by a specific submitter"					
assembly_name	assembly name	Name/version of the assembly provided by the submitter that is used in the genome browsers and in the community					M
assembly_qual	assembly quality	"The assembly quality category is based on sets of criteria outlined for each assembly quality category. For MISAG/MIMAG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities with a consensus error rate equivalent to Q50 or better. High Quality Draft:Multiple fragments where gaps span repetitive regions. Presence of the 23S, 16S and 5S rRNA genes and at least 18 tRNAs. Medium Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Low Quality Draft:Many fragments with little to no review of assembly other than reporting of standard assembly statistics. Assembly statistics include, but are not limited to total assembly size, number of contigs, contig N50/L50, and maximum contig length. For MIUVIG; Finished: Single, validated, contiguous sequence per replicon without gaps or ambiguities, with extensive manual review and editing to annotate putative gene functions and transcriptional units. High-quality draft genome: One or multiple fragments, totaling � 90% of the expected genome or replicon sequence or predicted complete. Genome fragment(s): One or multiple fragments, totalling < 90% of the expected genome or replicon sequence, or for which no genome size could be estimated"	M	M	M	M	M
assembly_software	assembly software	"Tool(s) used for assembly, including version number and parameters"	O	O	O	O	O
associated resource	relevant electronic resources	"A related resource that is referenced, cited, or otherwise associated to the sequence."	M	R	-	-	-
experimental_factor	experimental factor	"Experimental factors are essentially the variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI). For a browser of EFO (v 2.95) terms, please see http://purl.bioontology.org/ontology/EFO; for a browser of OBI (v 2018-02-12) terms please see http://purl.bioontology.org/ontology/OBI"	M	O	-	-	-
lib_layout	library layout	"Specify whether to expect single, paired, or other configuration of reads"	M	R	-	-	-
lib_reads_seqd	library reads sequenced	Total number of clones sequenced from the library	-	-	R	R	R
lib_screen	library screening strategy	Specific enrichment or screening methods applied before and/or after creating libraries			R	R	R
lib_size	library size	Total number of clones in the library prepared for the project			R	R	R
lib_vector	library vector	Cloning vector type(s) used in construction of libraries					
mid	multiplex identifiers	"Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters"					
neg_cont_type	negative control type	The substance or equipment used as a negative control in an investigation					M
nucl_acid_amp	nucleic acid amplification	"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the enzymatic amplification (PCR, TMA, NASBA) of specific nucleic acids"	M	M	M	M	M
nucl_acid_ext	nucleic acid extraction	"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample"	O	O	O	O	O
number_contig	number of contigs	"Total number of contigs in the cleaned/submitted assembly that makes up a given genome, SAG, MAG, or UViG"	M	R	-	-	-
pos_cont_type	positive control type	"The substance, mixture, product, or apparatus used to verify that a process which is part of an investigation delivers a true positive."	M	O	-	-	-
samp_collec_device	sample collection device	The device used to collect an environmental sample. This field accepts terms listed under environmental sampling device (http://purl.obolibrary.org/obo/ENVO). This field also accepts terms listed under specimen collection device (http://purl.obolibrary.org/obo/GENEPIO_0002094).	M	R	-	-	-
samp_collec_method	sample collection method	The method employed for collecting the sample.	-	-	R	R	R
samp_mat_process	sample material processing	"A brief description of any processing applied to the sample during or after retrieving the sample from environment, or a link to the relevant protocol(s) performed."			R	R	R
samp_size	amount or size of sample collected	"The total amount or size (volume (ml), mass (g) or area (m2) ) of sample collected."			R	R	R
sop	relevant standard operating procedures	"Standard operating procedures used in assembly and/or annotation of genomes, metagenomes or environmental sequences"					
source_mat_id	source material identifiers	"A unique identifier assigned to a material sample (as defined by http://rs.tdwg.org/dwc/terms/materialSampleID, and as opposed to a particular digital record of a material sample) used for extracting nucleic acids, and subsequent sequencing. The identifier can refer either to the original material collected or to any derived sub-samples. The INSDC qualifiers /specimen_voucher, /bio_material, or /culture_collection may or may not share the same value as the source_mat_id field. For instance, the /specimen_voucher qualifier and source_mat_id may both contain 'UAM:Herps:14' , referring to both the specimen voucher and sampled tissue with the same identifier. However, the /culture_collection qualifier may refer to a value from an initial culture (e.g. ATCC:11775) while source_mat_id would refer to an identifier from some derived culture from which the nucleic acids were extracted (e.g. xatc123 or ark:/2154/R2)."					
alt	altitude	"Altitude is a term used to identify heights of objects such as airplanes, space shuttles, rockets, atmospheric balloons and heights of places such as atmospheric layers and clouds. It is used to measure the height of an object which is above the earth's surface. In this context, the altitude measurement is the vertical distance between the earth's surface above sea level and the sampled position in the air"	M	M	M	M	M
depth	depth	"The vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectively. Depth can be reported as an interval for subsurface samples."	O	O	O	O	O
elev	elevation	"Elevation of the sampling site is its height above a fixed reference point, most commonly the mean sea level. Elevation is mainly used when referring to points on the earth's surface, while altitude is used for points above the surface, such as an aircraft in flight or a spacecraft in orbit."	M	R	-	-	-
temp	temperature	Temperature of the sample at the time of sampling.	M	O	-	-	-
collection_date	collection date	"The time of sampling, either as an instance (single point in time) or interval. In case no exact time is available, the date/time can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant"	M	R	-	-	-
env_broad_scale	broad-scale environmental context	"Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO�s biome class: http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS"	-	-	R	R	R
env_local_scale	local environmental context	"Report the entity or entities which are in the sample or specimen�s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS."			R	R	R
env_medium	environmental medium	"Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top)."			R	R	R
geo_loc_name	"geographic location (country and/or sea,region)"	"The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)"					
lat_lon	geographic location (latitude and longitude)	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system					
project_name	project name	Name of the project within which the sequencing was organized					M
samp_name	sample name	"A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name."	M	M	M	M	M
samp_taxon_id	Taxonomy ID of DNA sample	"NCBI taxon id of the sample. Maybe be a single taxon or mixed taxa sample. Use 'synthetic metagenome� for mock community/positive controls, or 'blank sample' for negative controls."	O	O	O	O	O
seq_meth	sequencing method	Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).	M	R	-	-	-
feat_pred	feature prediction	"Method used to predict UViGs features such as ORFs, integration site, etc."	M	O	-	-	-
ref_biomaterial	reference for biomaterial	"Primary publication if isolated before genome publication; otherwise, primary genome report."	M	R	-	-	-
ref_db	reference database(s)	"List of database(s) used for ORF annotation, along with version number and reference to website or publication"	-	-	R	R	R
rel_to_oxygen	relationship to oxygen	"Is this organism an aerobe, anaerobe? Please note that aerobic and anaerobic are valid descriptors for microbial environments"			R	R	R
samp_vol_we_dna_ext	sample volume or weight for DNA extraction	Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001).			R	R	R
sim_search_meth	similarity search method	"Tool used to compare ORFs with database, along with version and cutoffs used"					
size_frac	size fraction selected	Filtering pore size used in sample preparation					
tax_class	taxonomic classification	"Method used for taxonomic classification, along with reference database used, classification rank, and thresholds used to classify new genomes"					M
