class	Structured comment name	Occurrence	Frequency
agriculture	lot_number		0.2
food-animal and animal feed	organism_count	1	0.18181818181818182
food-farm environment	organism_count	1	0.18181818181818182
food-food production facility	organism_count	1	0.18181818181818182
food-human foods	organism_count	1	0.18181818181818182
air	organism_count	m	0.7727272727272727
built environment	organism_count	m	0.7727272727272727
host-associated	organism_count	m	0.7727272727272727
human-associated	organism_count	m	0.7727272727272727
human-gut	organism_count	m	0.7727272727272727
human-oral	organism_count	m	0.7727272727272727
human-skin	organism_count	m	0.7727272727272727
human-vaginal	organism_count	m	0.7727272727272727
hydrocarbon resources-cores	organism_count	m	0.7727272727272727
hydrocarbon resources-fluids/swabs	organism_count	m	0.7727272727272727
microbial mat/biofilm	organism_count	m	0.7727272727272727
miscellaneous natural or artificial environment	organism_count	m	0.7727272727272727
plant-associated	organism_count	m	0.7727272727272727
sediment	organism_count	m	0.7727272727272727
symbiont-associated	organism_count	m	0.7727272727272727
wastewater/sludge	organism_count	m	0.7727272727272727
water	organism_count	m	0.7727272727272727
agriculture	organism_count		0.045454545454545456
migs_ba	pcr_primers	1	0.9166666666666666
migs_eu	pcr_primers	1	0.9166666666666666
migs_org	pcr_primers	1	0.9166666666666666
migs_pl	pcr_primers	1	0.9166666666666666
migs_vi	pcr_primers	1	0.9166666666666666
mimag	pcr_primers	1	0.9166666666666666
mimarks_c	pcr_primers	1	0.9166666666666666
mimarks_s	pcr_primers	1	0.9166666666666666
mims	pcr_primers	1	0.9166666666666666
misag	pcr_primers	1	0.9166666666666666
miuvig	pcr_primers	1	0.9166666666666666
agriculture	pcr_primers		0.08333333333333333
agriculture	plant_growth_med	1	0.6666666666666666
plant-associated	plant_growth_med	1	0.6666666666666666
food-farm environment	plant_growth_med	m	0.3333333333333333
agriculture	pool_dna_extracts	1	0.4
soil	pool_dna_extracts	1	0.4
food-animal and animal feed	pool_dna_extracts	m	0.6
food-food production facility	pool_dna_extracts	m	0.6
food-human foods	pool_dna_extracts	m	0.6
food-farm environment	rel_location	1	0.5
agriculture	rel_location		0.5
air	salinity	1	0.9411764705882353
food-farm environment	salinity	1	0.9411764705882353
host-associated	salinity	1	0.9411764705882353
human-associated	salinity	1	0.9411764705882353
human-gut	salinity	1	0.9411764705882353
human-oral	salinity	1	0.9411764705882353
human-skin	salinity	1	0.9411764705882353
human-vaginal	salinity	1	0.9411764705882353
hydrocarbon resources-cores	salinity	1	0.9411764705882353
hydrocarbon resources-fluids/swabs	salinity	1	0.9411764705882353
microbial mat/biofilm	salinity	1	0.9411764705882353
miscellaneous natural or artificial environment	salinity	1	0.9411764705882353
plant-associated	salinity	1	0.9411764705882353
sediment	salinity	1	0.9411764705882353
wastewater/sludge	salinity	1	0.9411764705882353
water	salinity	1	0.9411764705882353
symbiont-associated	salinity	m	0.058823529411764705
food-animal and animal feed	samp_pooling	m	0.8
food-farm environment	samp_pooling	m	0.8
food-food production facility	samp_pooling	m	0.8
food-human foods	samp_pooling	m	0.8
agriculture	samp_pooling		0.2
agriculture	season_precpt	1	0.6666666666666666
soil	season_precpt	1	0.6666666666666666
food-farm environment	season_precpt	m	0.3333333333333333
food-animal and animal feed	seq_meth	1	0.9375
food-farm environment	seq_meth	1	0.9375
food-food production facility	seq_meth	1	0.9375
food-human foods	seq_meth	1	0.9375
migs_ba	seq_meth	1	0.9375
migs_eu	seq_meth	1	0.9375
migs_org	seq_meth	1	0.9375
migs_pl	seq_meth	1	0.9375
migs_vi	seq_meth	1	0.9375
mimag	seq_meth	1	0.9375
mimarks_c	seq_meth	1	0.9375
mimarks_s	seq_meth	1	0.9375
mims	seq_meth	1	0.9375
misag	seq_meth	1	0.9375
miuvig	seq_meth	1	0.9375
agriculture	seq_meth		0.0625
food-farm environment	soil_conductivity	1	0.5
agriculture	soil_conductivity		0.5
food-farm environment	soil_cover	1	0.5
agriculture	soil_cover		0.5
food-farm environment	soil_pH	1	0.5
agriculture	soil_pH		0.5
agriculture	soil_temp	1	0.5
food-farm environment	soil_temp	m	0.5
agriculture	soil_type	1	0.6666666666666666
soil	soil_type	1	0.6666666666666666
food-farm environment	soil_type	m	0.3333333333333333
air	solar_irradiance	1	0.3333333333333333
agriculture	solar_irradiance	m	0.6666666666666666
food-farm environment	solar_irradiance	m	0.6666666666666666
agriculture	source_mat_id	m	0.9230769230769231
migs_ba	source_mat_id	m	0.9230769230769231
migs_eu	source_mat_id	m	0.9230769230769231
migs_org	source_mat_id	m	0.9230769230769231
migs_pl	source_mat_id	m	0.9230769230769231
migs_vi	source_mat_id	m	0.9230769230769231
mimag	source_mat_id	m	0.9230769230769231
mimarks_c	source_mat_id	m	0.9230769230769231
mimarks_s	source_mat_id	m	0.9230769230769231
mims	source_mat_id	m	0.9230769230769231
misag	source_mat_id	m	0.9230769230769231
miuvig	source_mat_id	m	0.9230769230769231
symbiont-associated	source_mat_id		0.07692307692307693
food-farm environment	tillage	1	0.3333333333333333
agriculture	tillage	m	0.6666666666666666
soil	tillage	m	0.6666666666666666
soil	tot_nitro_cont_meth	1	0.5
food-farm environment	tot_nitro_cont_meth	m	0.5
microbial mat/biofilm	tot_nitro_content	1	0.75
sediment	tot_nitro_content	1	0.75
soil	tot_nitro_content	1	0.75
food-farm environment	tot_nitro_content	m	0.25
air	ventilation_type	1	0.6666666666666666
built environment	ventilation_type	1	0.6666666666666666
food-farm environment	ventilation_type	m	0.3333333333333333
food-farm environment	water_pH	1	0.5
agriculture	water_pH		0.5
