name	title	slot_uri	comments	description	examples	in_subset	keywords	multivalued	pattern	range	recommended	required	string_serialization	structured_pattern	Expected_value	Preferred_unit
mean_frict_vel	mean friction velocity	MIXS:0000498		Measurement of mean friction velocity	{'value': '0.5 meter per second'}		mean|velocity			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter per second
mean_peak_frict_vel	mean peak friction velocity	MIXS:0000502		Measurement of mean peak friction velocity	{'value': '1 meter per second'}		mean|peak|velocity			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter per second
methane	methane	MIXS:0000101		Methane (gas) amount or concentration at the time of sampling	{'value': '0.15 micromole per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, parts per billion, parts per million
misc_param	miscellaneous parameter	MIXS:0000752		Any other measurement performed or parameter collected, that is not listed here	{'value': 'Bicarbonate ion concentration;2075 micromole per kilogram'}		parameter	True		string			{text};{float} {unit}		parameter name;measurement value	
n_alkanes	n-alkanes	MIXS:0000503		Concentration of n-alkanes; can include multiple n-alkanes	{'value': 'n-hexadecane;100 milligram per liter'}			True		string			{text};{float} {unit}		n-alkane name;measurement value	
nitrate	nitrate	MIXS:0000425		Concentration of nitrate in the sample	{'value': '65 micromole per liter'}		nitrate			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter, parts per million
nitrite	nitrite	MIXS:0000426		Concentration of nitrite in the sample	{'value': '0.5 micromole per liter'}		nitrite			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter, parts per million
nitro	nitrogen	MIXS:0000504		Concentration of nitrogen (total)	{'value': '4.2 micromole per liter'}		nitrogen			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter
org_carb	organic carbon	MIXS:0000508		Concentration of organic carbon	{'value': '1.5 microgram per liter'}		carbon|organic			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
org_matter	organic matter	MIXS:0000204		Concentration of organic matter	{'value': '1.75 milligram per cubic meter'}		organic			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		microgram per liter
org_nitro	organic nitrogen	MIXS:0000205		Concentration of organic nitrogen	{'value': '4 micromole per liter'}		nitrogen|organic			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
organism_count	organism count	MIXS:0000103		Total cell count of any organism (or group of organisms) per gram, volume or area of sample, should include name of organism followed by count. The method that was used for the enumeration (e.g. qPCR, atp, mpn, etc.) Should also be provided. (example: total prokaryotes; 3.5e7 cells per ml; qpcr)	{'value': 'total prokaryotes;3.5e7 cells per milliliter;qPCR'}		count|organism	True		string			{text};{float} {unit};[ATP|MPN|qPCR|other]		organism name;measurement value;enumeration	
oxy_stat_samp	oxygenation status of sample	MIXS:0000753		Oxygenation status of sample	{'value': 'aerobic'}		oxygen|sample|status			OxyStatSampEnum						
part_org_carb	particulate organic carbon	MIXS:0000515		Concentration of particulate organic carbon	{'value': '1.92 micromole per liter'}		carbon|organic|particle|particulate			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
particle_class	particle classification	MIXS:0000206		Particles are classified, based on their size, into six general categories:clay, silt, sand, gravel, cobbles, and boulders; should include amount of particle preceded by the name of the particle type; can include multiple values			classification|particle	True		string			{text};{float} {unit}		particle name;measurement value	micrometer
perturbation	perturbation	MIXS:0000754		Type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with perturbation regimen including how many times the perturbation was repeated, how long each perturbation lasted, and the start and end time of the entire perturbation period; can include multiple perturbation types	{'value': 'antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M'}		perturbation	True		string			{text};{Rn/start_time/end_time/duration}		perturbation type name;perturbation interval and duration	
petroleum_hydrocarb	petroleum hydrocarbon	MIXS:0000516		Concentration of petroleum hydrocarbon	{'value': '0.05 micromole per liter'}		hydrocarbon|petroleum			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter
ph	pH	MIXS:0001001		pH measurement of the sample, or liquid portion of sample, or aqueous phase of the fluid	{'value': '7.2'}		ph			float						
phaeopigments	phaeopigments	MIXS:0000180		Concentration of phaeopigments; can include multiple phaeopigments	{'value': '2.5 milligram per cubic meter'}			True		string			{text};{float} {unit}		phaeopigment name;measurement value	milligram per cubic meter
phosphate	phosphate	MIXS:0000505		Concentration of phosphate	{'value': '0.7 micromole per liter'}		phosphate			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter
phosplipid_fatt_acid	phospholipid fatty acid	MIXS:0000181		Concentration of phospholipid fatty acids; can include multiple values	{'value': '2.98 milligram per liter'}			True		string			{text};{float} {unit}		phospholipid fatty acid name;measurement value	
porosity	porosity	MIXS:0000211		Porosity of deposited sediment is volume of voids divided by the total volume of sample			porosity			string			{float} - {float} {unit}		measurement value or range	percentage
potassium	potassium	MIXS:0000430		Concentration of potassium in the sample	{'value': '463 milligram per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milligram per liter, parts per million
pressure	pressure	MIXS:0000412		Pressure to which the sample is subject to, in atmospheres	{'value': '50 atmosphere'}		pressure			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		atmosphere
project_name	project name	MIXS:0000092		Name of the project within which the sequencing was organized	{'value': 'Forest soil metagenome'}	investigation	project			string		True				
redox_potential	redox potential	MIXS:0000182		Redox potential, measured relative to a hydrogen cell, indicating oxidation or reduction potential	{'value': '300 millivolt'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		millivolt
salinity	salinity	MIXS:0000183		The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater	{'value': '25 practical salinity unit'}		salinity			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		practical salinity unit, percentage
samp_name	sample name	MIXS:0001107		A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name	{'value': 'ISDsoil1'}	investigation	sample			string		True				
samp_store_dur	sample storage duration	MIXS:0000116		Duration for which the sample was stored. Indicate the duration for which the sample was stored written in ISO 8601 format	{'value': 'P1Y6M'}		duration|period|sample|storage			string				{'syntax': '^{duration}$', 'interpolated': True, 'partial_match': True}		
samp_store_loc	sample storage location	MIXS:0000755		Location at which sample was stored, usually name of a specific freezer/room	{'value': 'Freezer no:5'}		location|sample|storage			string					location name	
samp_store_temp	sample storage temperature	MIXS:0000110		Temperature at which sample was stored, e.g. -80 degree Celsius	{'value': '-80 degree Celsius'}		sample|storage|temperature			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
samp_vol_we_dna_ext	sample volume or weight for DNA extraction	MIXS:0000111		Volume (ml) or mass (g) of total collected sample processed for DNA extraction. Note: total sample collected should be entered under the term Sample Size (MIXS:0000001)	{'value': '1500 milliliter'}	nucleic acid sequence source	dna|sample|volume|weight			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milliliter, gram, milligram, square centimeter
sediment_type	sediment type	MIXS:0001078		Information about the sediment type based on major constituents	{'value': 'biogenous'}		sediment|type			SedimentTypeEnum						
silicate	silicate	MIXS:0000184		Concentration of silicate	{'value': '0.05 micromole per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter
sodium	sodium	MIXS:0000428		Sodium concentration in the sample	{'value': '10.5 milligram per liter'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		milligram per liter, parts per million
sulfate	sulfate	MIXS:0000423		Concentration of sulfate in the sample	{'value': '5 micromole per liter'}		sulfate			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter, parts per million
sulfide	sulfide	MIXS:0000424		Concentration of sulfide in the sample	{'value': '2 micromole per liter'}		sulfide			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		micromole per liter, milligram per liter, parts per million
temp	temperature	MIXS:0000113		Temperature of the sample at the time of sampling	{'value': '25 degree Celsius'}	environment	temperature			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		degree Celsius
tidal_stage	tidal stage	MIXS:0000750		Stage of tide	{'value': 'high tide'}					TidalStageEnum						
tot_carb	total carbon	MIXS:0000525		Total carbon content			carbon|total			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
tot_depth_water_col	total depth of water column	MIXS:0000634		Measurement of total depth of water column	{'value': '500 meter'}		depth|total|water			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		meter
tot_nitro_content	total nitrogen content	MIXS:0000530		Total nitrogen content of the sample	{'value': '35 milligrams Nitrogen per kilogram of soil'}		content|nitrogen|total			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
tot_org_carb	total organic carbon	MIXS:0000533		Total organic carbon content	{'value': '0.02'}		carbon|organic|total			string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		gram Carbon per kilogram sample material
turbidity	turbidity	MIXS:0000191		Measure of the amount of cloudiness or haziness in water caused by individual particles	{'value': '0.3 nephelometric turbidity units'}					string				{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		
water_content	water content	MIXS:0000185		Water content measurement			content|water			string			{float} {unit}	{'syntax': '^{scientific_float}( *- *{scientific_float})? *{text}$', 'interpolated': True, 'partial_match': True}		gram per gram or cubic centimeter per cubic centimeter
