Environmental package	Structured comment name	Example	Requirement	Preferred unit	github ticket
Agriculture	tot_org_c_meth		C		
Agriculture	tot_n_meth		C		
Agriculture	microbial_biomass_meth		M		
Agriculture	heavy_metals_meth		C		
Agriculture	host_genotype		M		
Agriculture	tot_car		C	"microgram per liter, micromole per liter"	
Agriculture	tot_nitro		C	"microgram per liter, micromole per liter"	
Agriculture	tot_org_carb		C	gram Carbon per kilogram sample material	
Agriculture	fungicide_regm		C	"gram, mole per liter, milligram per liter"	
Agriculture	gaseous_environment		C	micromole per liter	
Agriculture	herbicide_regm		C	"gram, mole per liter, milligram per liter"	
Agriculture	non_mineral_nutr_regm		C	"gram, mole per liter, milligram per liter"	
Agriculture	pesticide_regm		C	"gram, mole per liter, milligram per liter"	
Agriculture	root_med_carbon	sucrose	X	milligram per liter	
Agriculture	root_med_macronutr	KH2PO4;170 milligram per liter	X	milligram per liter	
Agriculture	salt_regm		C	"gram, microgram, mole per liter, gram per liter"	
Agriculture	water_temp_regm		C	degree Celsius	
Agriculture	watering_regm		C	"milliliter, liter"	
Agriculture	agrochem_addition		X	"gram, mole per liter, milligram per liter"	
Agriculture	annual_temp	12.5 degree Celsius	X	degree Celsius	#225
Agriculture	season_temp	18 degree Celsius	X	degree Celsius	#225
Agriculture	annual_precpt		X	millimeter	#226
Agriculture	season_precpt		X	millimeter	#226
Agriculture	slope_gradient		C	percentage	
Agriculture	slope_aspect		C	degree	
Agriculture	microbial_biomass		M	"ton, kilogram, gram per kilogram soil"	
Agriculture	tot_phos		C	"microgram per liter, micromole per liter"	
Agriculture	size_frac_low	0.2 micrometer	X	micrometer	
Agriculture	size_frac_up	20 micrometer	X	micrometer	
Agriculture	chem_administration	agar [CHEBI:2509];2018-05-11T20:00Z	M		
Agriculture	misc_param		X		
Agriculture	oxy_stat_samp		C		
Agriculture	perturbation		C		
Agriculture	samp_store_loc		M		
Agriculture	pres_animal_insect	cat;5	X		"couldnt this also be covered by the ""observed host symbiont"" field?"
Agriculture	season	autumn [NCIT:C94733]	X		
Agriculture	genetic_mod	aox1A transgenic	X		
Agriculture	host_phenotype		M		
Agriculture	climate_environment		C		
Agriculture	ph_regm		C		
Agriculture	plant_growth_med	hydroponic plant culture media [EO:0007067]	X		#217 & #165
Agriculture	plant_product		C		
Agriculture	plant_struc	epidermis [PO:0005679]	C		#230
Agriculture	root_med_ph	7.5	X		
Agriculture	season_environment		C		
Agriculture	standing_water_regm		C		
Agriculture	cur_land_use		X		
Agriculture	tillage		C		
Agriculture	horizon		C		
Agriculture	fao_class		C		
Agriculture	profile_position		C		
Agriculture	drainage_class		C		
Agriculture	fire		C		
Agriculture	ph_meth		C		
Agriculture	farm_water_source	water well (ENVO:01000002)	C		
Agriculture	plant_water_method	drip irrigation process [AGRO:00000056]	C		
Agriculture	anim_water_method	water trough [EOL:0001618]	X		
Agriculture	crop_yield	570 kilogram per metre square	X	kilogram per metre square	
Agriculture	adjacent_environment	estuarine biome [ENVO:01000020]	X		#212
Agriculture	farm_equip_shared		X		
Agriculture	farm_equip_san		X		
Agriculture	farm_equip	combine harvester [AGRO:00000473]	X		
Agriculture	fertilizer_admin	fish emulsion [AGRO:00000082]	X		
Agriculture	food_harvest_proc		X		
Agriculture	food_trav_mode	train travel [GENEPIO:0001060]	X		#229
Agriculture	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X		#229
Agriculture	Food_source	red swamp crayfish; FOODON:03412231	M		#252
Agriculture	library_prep_kit	"llumina DNA Prep, (M) Tagmentation"	X		
Agriculture	lot_number	"1239ABC01A, split Cornish hens"	X		
Agriculture	season_humidity	25%	X		
Agriculture	samp_pooling		C		
Agriculture	sequencing_location	University of Maryland Genomics Resource Center	X		
Agriculture	soil_conductivity		X		
Agriculture	soil_cover		C		
Agriculture	soil_pH		X		
Agriculture	rel_location	furrow	C		
Agriculture	soil_temp	25 degrees Celsius	X	degree Celsius	
Agriculture	spikein_strain	169963	X		#228
Agriculture	water_pH	7.2	X		
Agriculture	water_source_shared	no sharing	X		
Agriculture	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	C		
Agriculture	cult_isol_date	2/26/20	X		
Agriculture	Food_Product_type	delicatessen salad; FOODON:03316276	X		
Agriculture	food_prod	organic plant cultivation [FOODON:03530253]	X		
Agriculture	samp_collect_method	environmental swab sampling	X		
Agriculture	soil_horizon	[O horizon|A horizon|E horizon|B horizon|C horizon|R layer|Permafrost]	C		#218
Agriculture	photosynt_activ	_mol CO2 m-2 s-1	C	mol m-2 s-1	#223
Agriculture	host_symbiont	Paragordius varius	X		#224 & #175
Agriculture	host_subspecf_genlin	"serovar:Newport, variety:glabrum, cultivar: Red Delicious"	X		#227 & #256
Agriculture	photosynt_activ_meth		C		#223
Air	project_name	Forest soil metagenome	M		
Air	elev	100 meter	C	meter	
Air	alt	100 meter	M	meter	
Air	barometric_press	5 millibar	X	millibar	
Air	carb_dioxide	410 parts per million	X	"micromole per liter, parts per million"	
Air	carb_monoxide	0.1 parts per million	X	"micromole per liter, parts per million"	
Air	humidity	25 gram per cubic meter	X	gram per cubic meter	
Air	methane	1800 parts per billion	X	"micromole per liter, parts per billion, parts per million"	
Air	organism_count	total prokaryotes;3.5e7 cells per milliliter;qPCR	X	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	
Air	oxygen	600 parts per million	X	"milligram per liter, parts per million"	
Air	pollutants	lead;0.15 microgram per cubic meter	X	"gram, mole per liter, milligram per liter, microgram per cubic meter"	
Air	air particulate matter concentration	PM2.5;10 microgram per cubic meter	X	microgram per cubic meter	
Air	samp_store_temp	-80 degree Celsius	X	degree Celsius	
Air	samp_vol_we_dna_ext	1500 milliliter	X	"millliter, gram, milligram, square centimeter"	
Air	solar_irradiance	1.36 kilowatts per square meter per day	X	"kilowatts per square meter per day, ergs per square centimeter per second"	
Air	temp	25 degree Celsius	X	degree Celsius	
Air	ventilation_rate	750 cubic meter per minute	X	"cubic meter per minute, liters per second"	
Air	volatile_org_comp	formaldehyde;500 nanogram per liter	X	"microgram per cubic meter, parts per million, nanogram per liter"	
Air	samp_store_dur	P1Y6M	X		
Air	wind_speed	21 kilometer per hour	X	"meter per second, kilometer per hour"	
Air	salinity	25 practical salinity unit	X	"practical salinity unit, percentage"	
Air	chem_administration	agar [CHEBI:2509];2018-05-11T20:00Z	X		
Air	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X		
Air	oxy_stat_samp	aerobic	X		
Air	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X		
Air	samp_store_loc	Freezer no:5	X		
Air	ventilation_type	Operable windows	X		
Air	wind_direction	Northwest	X		
Air	samp_name	ISDsoil1	M		
BuiltEnvironment	project_name	Forest soil metagenome	M		
BuiltEnvironment	carb_dioxide	410 parts per million	M	"micromole per liter, parts per million"	
BuiltEnvironment	organism_count	total prokaryotes;3.5e7 cells per milliliter;qPCR	M	"number of cells per cubic meter, number of cells per milliliter, number of cells per cubic centimeter"	
BuiltEnvironment	rel_air_humidity	80%	M	percentage	
BuiltEnvironment	abs_air_humidity	9 gram per gram	M	"gram per gram, kilogram per kilogram, kilogram, pound"	
BuiltEnvironment	surf_humidity	10%	E	percentage	
BuiltEnvironment	air_temp	20 degree Celsius	M	degree Celsius	
BuiltEnvironment	surf_temp	15 degree Celsius	E	degree Celsius	
BuiltEnvironment	surf_moisture	0.01 gram per square meter	E	"parts per million, gram per cubic meter, gram per square meter"	
BuiltEnvironment	dew_point	22 degree Celsius	X	degree Celsius	
BuiltEnvironment	amount_light		X	"lux, lumens per square meter"	
BuiltEnvironment	avg_dew_point	25.5 degree Celsius	X	degree Celsius	
BuiltEnvironment	avg_temp	12.5 degree Celsius	X	degree Celsius	
BuiltEnvironment	ceil_thermal_mass		X	joule per degree Celsius	
BuiltEnvironment	exp_duct		X	square meter	
BuiltEnvironment	built_struc_age	15	X	year	
BuiltEnvironment	ceil_area	25 square meter	X	square meter	
BuiltEnvironment	door_size	2.5 square meter	X	square meter	
BuiltEnvironment	floor_age		X	"years, weeks, days"	
BuiltEnvironment	floor_area		X	square meter	
BuiltEnvironment	floor_thermal_mass		X	joule per degree Celsius	
BuiltEnvironment	height_carper_fiber		X	centimeter	
BuiltEnvironment	inside_lux		X	kilowatt per square metre	
BuiltEnvironment	room_air_exch_rate		X	liter per hour	
BuiltEnvironment	ext_door		X		
BuiltEnvironment	rel_humidity_out	12 per kilogram of air	X	"gram of air, kilogram of air"	
BuiltEnvironment	room_dim		X	meter	
BuiltEnvironment	room_door_dist		X	meter	
BuiltEnvironment	room_net_area		X	"square feet, square meter"	
BuiltEnvironment	room_vol		X	"cubic feet, cubic meter"	
BuiltEnvironment	samp_time_out		X	hour	
BuiltEnvironment	temp_out	5 degree Celsius	X	degree Celsius	
BuiltEnvironment	wall_area		X	square meter	
BuiltEnvironment	specific_humidity	15 per kilogram of air	X	"gram of air, kilogram of air"	
BuiltEnvironment	samp_sort_meth		X		
BuiltEnvironment	occup_density_samp		M		
BuiltEnvironment	address		X		
BuiltEnvironment	adj_room		X		
BuiltEnvironment	exp_pipe		X		
BuiltEnvironment	wall_height		X	centimeter	
BuiltEnvironment	wall_thermal_mass		X	joule per degree Celsius	
BuiltEnvironment	water_feat_size		X	square meter	
BuiltEnvironment	window_size		X	"inch, meter"	
BuiltEnvironment	floor_count		X		
BuiltEnvironment	freq_clean		X		#206
BuiltEnvironment	freq_cook		X		
BuiltEnvironment	hall_count		X		
BuiltEnvironment	max_occup		X		
BuiltEnvironment	number_plants		X		
BuiltEnvironment	number_pets		X		
BuiltEnvironment	number_resident		X		
BuiltEnvironment	room_architec_elem		X		
BuiltEnvironment	room_count		X		
BuiltEnvironment	room_moist_dam_hist		X		
BuiltEnvironment	room_occup		X		
BuiltEnvironment	room_window_count		X		
BuiltEnvironment	room_hallway		X		
BuiltEnvironment	room_door_share		X		
BuiltEnvironment	room_wall_share		X		
BuiltEnvironment	samp_room_id		X		
BuiltEnvironment	shading_device_mat		X		
BuiltEnvironment	window_open_freq		X		
BuiltEnvironment	built_struc_type		X		
BuiltEnvironment	ventilation_type	Operable windows	M		
BuiltEnvironment	surf_material	wood	E		
BuiltEnvironment	surf_air_cont	radon	E		
BuiltEnvironment	surf_moisture_ph	7	E		
BuiltEnvironment	build_occup_type	market	M		
BuiltEnvironment	indoor_space	foyer	M		
BuiltEnvironment	indoor_surf	wall	E		
BuiltEnvironment	filter_type	HEPA	M		
BuiltEnvironment	heat_cool_type	heat pump	M		
BuiltEnvironment	substructure_type	basement	X		
BuiltEnvironment	building_setting	rural	M		
BuiltEnvironment	light_type	desk lamp	M		
BuiltEnvironment	space_typ_state	typically occupied	M		
BuiltEnvironment	typ_occup_density	25	M		
BuiltEnvironment	occup_samp	10	M		
BuiltEnvironment	aero_struc	plane	X		
BuiltEnvironment	arch_struc	shed	X		
BuiltEnvironment	avg_occup	2	X		
BuiltEnvironment	bathroom_count	1	X		
BuiltEnvironment	bedroom_count	2	X		
BuiltEnvironment	built_struc_set	rural	X		
BuiltEnvironment	ceil_cond	damaged	X		
BuiltEnvironment	ceil_finish_mat	stucco	X		
BuiltEnvironment	ceil_water_mold	presence of mold visible	X		
BuiltEnvironment	ceil_struc	concrete	X		
BuiltEnvironment	ceil_texture	popcorn	X		
BuiltEnvironment	ceil_type	coffered	X		
BuiltEnvironment	cool_syst_id	12345	X		
BuiltEnvironment	date_last_rain	2018-05-11:T14:30Z	X		
BuiltEnvironment	build_docs	maintenance plans	X		
BuiltEnvironment	door_cond	new	X		
BuiltEnvironment	door_direct	inward	X		
BuiltEnvironment	door_loc	north	X		
BuiltEnvironment	door_mat	wood	X		
BuiltEnvironment	door_move	swinging	X		
BuiltEnvironment	door_water_mold	presence of mold visible	X		
BuiltEnvironment	door_type	wooden	X		
BuiltEnvironment	door_comp_type	revolving	X		
BuiltEnvironment	door_type_metal	hollow	X		
BuiltEnvironment	door_type_wood	battened	X		
BuiltEnvironment	drawings	sketch	X		
BuiltEnvironment	elevator	2	X		
BuiltEnvironment	escalator	4	X		
BuiltEnvironment	fireplace_type	wood burning	X		
BuiltEnvironment	floor_cond	new	X		
BuiltEnvironment	floor_finish_mat	carpet	X		
BuiltEnvironment	floor_water_mold	ceiling discoloration	X		
BuiltEnvironment	floor_struc	concrete	X		
BuiltEnvironment	furniture	chair	X		
BuiltEnvironment	gender_restroom	male	X		
BuiltEnvironment	handidness	right handedness	X		
BuiltEnvironment	heat_deliv_loc	north	X		
BuiltEnvironment	heat_sys_deliv_meth	radiant	X		
BuiltEnvironment	int_wall_cond	damaged	X		
BuiltEnvironment	last_clean	2018-05-11:T14:30Z	X		
BuiltEnvironment	mech_struc	elevator	X		
BuiltEnvironment	occup_document	estimate	X		
BuiltEnvironment	ext_wall_orient	northwest	X		
BuiltEnvironment	ext_window_orient	southwest	X		
BuiltEnvironment	pres_animal_insect	cat;5	X		
BuiltEnvironment	quad_pos	West side	X		
BuiltEnvironment	rel_samp_loc	center of car	X		
BuiltEnvironment	room_condt	new	X		
BuiltEnvironment	room_loc	interior room	X		
BuiltEnvironment	room_samp_pos	south corner	X		
BuiltEnvironment	room_type	bathroom	X		
BuiltEnvironment	room_connected	office	X		
BuiltEnvironment	samp_weather	foggy	X		
BuiltEnvironment	samp_floor	4th floor	X		
BuiltEnvironment	season	autumn [NCIT:C94733]	X		
BuiltEnvironment	season_use	Winter	X		
BuiltEnvironment	shading_device_cond	new	X		
BuiltEnvironment	shading_device_loc	exterior	X		
BuiltEnvironment	heat_system_id		X		
BuiltEnvironment	shad_dev_water_mold	no presence of mold visible	X		
BuiltEnvironment	shading_device_type	slatted aluminum awning	X		
BuiltEnvironment	specific	construction	X		
BuiltEnvironment	train_line	red	X		
BuiltEnvironment	train_stat_loc	forest hills	X		
BuiltEnvironment	train_stop_loc	end	X		
BuiltEnvironment	vis_media	3D scans	X		
BuiltEnvironment	wall_const_type	fire resistive	X		
BuiltEnvironment	wall_finish_mat	wood	X		
BuiltEnvironment	wall_loc	north	X		
BuiltEnvironment	wall_water_mold	no presence of mold visible	X		
BuiltEnvironment	wall_surf_treatment	paneling	X		
BuiltEnvironment	wall_texture	popcorn	X		
BuiltEnvironment	water_feat_type	stream	X		
BuiltEnvironment	weekday	Sunday	X		
BuiltEnvironment	window_cond	rupture	X		
BuiltEnvironment	window_cover	curtains	X		
BuiltEnvironment	window_horiz_pos	middle	X		
BuiltEnvironment	window_loc	west	X		
BuiltEnvironment	window_mat	wood	X		
BuiltEnvironment	window_water_mold	no presence of mold visible	X		
BuiltEnvironment	window_status	open	X		
BuiltEnvironment	window_type	fixed window	X		
BuiltEnvironment	window_vert_pos	middle	X		
BuiltEnvironment	samp_name	ISDsoil1	M		
FoodAnimalAndAnimalFeed	samp_size	5 liters	X	"liter, gram, cm^2"	
FoodAnimalAndAnimalFeed	samp_collect_device	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X		
FoodAnimalAndAnimalFeed	experimental_factor	time series design [EFO:0001779]	X		
FoodAnimalAndAnimalFeed	lat_lon	50.586825 6.408977	M		
FoodAnimalAndAnimalFeed	geo_loc_name	"USA: Maryland, Bethesda"	M		
FoodAnimalAndAnimalFeed	collection_date	2018-05-11T10:00:00+01:00	M		
FoodAnimalAndAnimalFeed	env_broad_scale	forest biome [ENVO:01000174]	M		
FoodAnimalAndAnimalFeed	env_local_scale	litter layer [ENVO:01000338]	M		
FoodAnimalAndAnimalFeed	env_medium	soil [ENVO:00001998]	M		
FoodAnimalAndAnimalFeed	nucl_acid_ext	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X		
FoodAnimalAndAnimalFeed	seq_meth	454 Genome Sequencer FLX [OBI:0000702]	M		
FoodAnimalAndAnimalFeed	project_name	Forest soil metagenome	M		
FoodAnimalAndAnimalFeed	organism_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodAnimalAndAnimalFeed	spikein_count	total prokaryotes;3.5e7 colony forming units per milliliter;qPCR	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodAnimalAndAnimalFeed	samp_stor_temp	-80 degree Celsius	X	degree Celsius	
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	1500 milliliter	X	"milliliter, gram, milligram, square centimeter"	
FoodAnimalAndAnimalFeed	temp	25 degree Celsius	X	degree Celsius	
FoodAnimalAndAnimalFeed	samp_stor_dur	P1Y6M	X		
FoodAnimalAndAnimalFeed	pool_dna_extracts	"yes, 5"	X		
FoodAnimalAndAnimalFeed	misc_param	Bicarbonate ion concentration;2075 micromole per kilogram	X		
FoodAnimalAndAnimalFeed	perturbation	antibiotic addition;R2/2018-05-11T14:30Z/2018-05-11T19:30Z/P1H30M	X		
FoodAnimalAndAnimalFeed	samp_stor_loc	freezer 5	X		
FoodAnimalAndAnimalFeed	samp_name	ISDsoil1	M		
FoodAnimalAndAnimalFeed	animal_feed_equip	self feeding [EOL:0001645]| straight feed trough [EOL:0001661]	X		
FoodAnimalAndAnimalFeed	cult_result	positive	X		
FoodAnimalAndAnimalFeed	cult_result_org	Listeria monocytogenes [NCIT:C86502]	X		
FoodAnimalAndAnimalFeed	cult_target	Listeria monocytogenes [NCIT:C86502]	X		
FoodAnimalAndAnimalFeed	animal_group_size	80	X		
FoodAnimalAndAnimalFeed	animal_diet	Hay [FOODON:03301763]	X		
FoodAnimalAndAnimalFeed	food_contact_surf	cellulose acetate [FOODON:03500034]	X		
FoodAnimalAndAnimalFeed	food_contain_wrap	Plastic shrink-pack [FOODON:03490137]	X		
FoodAnimalAndAnimalFeed	food_pack_medium	packed in fruit juice [FOODON:03480039]	X		
FoodAnimalAndAnimalFeed	food_preserv_proc	food slow freezing [FOODON:03470128]	X		
FoodAnimalAndAnimalFeed	food_trav_mode	train travel [GENEPIO:0001060]	X		
FoodAnimalAndAnimalFeed	food_trav_vehic	aircraft [ENVO:01001488]|car [ENVO:01000605]	X		
FoodAnimalAndAnimalFeed	food_source	giant tiger prawn [FOODON:03412612]	X		#252
FoodAnimalAndAnimalFeed	food_treat_proc	gluten removal process [FOODON:03460750]	X		
FoodAnimalAndAnimalFeed	intended_consumer	9606 o rsenior as food consumer [FOODON:03510254]	M		
FoodAnimalAndAnimalFeed	library_prep_kit	Illumina DNA Prep	X		
FoodAnimalAndAnimalFeed	lot_number	"1239ABC01A, split Cornish hens"	X		
FoodAnimalAndAnimalFeed	part_plant_animal	chuck [FOODON:03530021]	X		
FoodAnimalAndAnimalFeed	samp_purpose	field trial	M		
FoodAnimalAndAnimalFeed	repository_name	FDA CFSAN Microbiology Laboratories	X		
FoodAnimalAndAnimalFeed	samp_pooling	5uL of extracted genomic DNA from 5 leaves were pooled	X		
FoodAnimalAndAnimalFeed	samp_source_mat_cat	environmental (swab or sampling) [GENEPIO:0001732]	X		
FoodAnimalAndAnimalFeed	sequencing_kit	NextSeq 500/550 High Output Kit v2.5 (75 Cycles)	X		
FoodAnimalAndAnimalFeed	sequencing_location	University of Maryland Genomics Resource Center	X		
FoodAnimalAndAnimalFeed	serovar_or_serotype	Escherichia coli strain O157:H7 [NCIT:C86883]	X		
FoodAnimalAndAnimalFeed	spikein_org	Listeria monocytogenes [NCIT:C86502]|28901	X		
FoodAnimalAndAnimalFeed	spikein_serovar	Escherichia coli strain O157:H7 [NCIT:C86883]|83334	X		
FoodAnimalAndAnimalFeed	spikein_growth_med	LB broth [MCO:0000036]	X		
FoodAnimalAndAnimalFeed	spikein_strain	169963	X		
FoodAnimalAndAnimalFeed	spikein_antibiotic	Tetracycline at 5 mg/ml	X		
FoodAnimalAndAnimalFeed	spikein_metal	Cd at 20 ppm	X		
FoodAnimalAndAnimalFeed	timepoint	P24H	X	hours or days	
FoodAnimalAndAnimalFeed	enrichment_protocol	BAM Chapter 4: Enumeration of Escherichia coli and the Coliform Bacteria	X		
FoodAnimalAndAnimalFeed	food_quality_date	best by 2020-05-24	X		
FoodAnimalAndAnimalFeed	IFSAC_category	Plants:Produce:Vegetables:Herbs:Dried Herbs	M		
FoodAnimalAndAnimalFeed	animal_housing	pen rearing system [EOL:0001636]	X		
FoodAnimalAndAnimalFeed	cult_isol_date	2018-05-11T10:00:00+01:00	X		
FoodAnimalAndAnimalFeed	coll_site_geo_feat	grocery store [GENEPIO:0001020]	M		
FoodAnimalAndAnimalFeed	food_product_type	"shrimp (peeled, deep-frozen) [FOODON:03317171]"	M		
FoodAnimalAndAnimalFeed	bacterial_density	10 colony forming units per gram dry weight	X	colony forming units per milliliter; colony forming units per gram of dry weight	
FoodAnimalAndAnimalFeed	cons_food_stor_dur	P5D	X	hours or days	
FoodAnimalAndAnimalFeed	cons_food_stor_temp	4 degree Celsius	X	degree Celsius	
FoodAnimalAndAnimalFeed	cons_purch_date	11/30/19	X		
FoodAnimalAndAnimalFeed	cons_qty_purchased	5 cans	X		
FoodAnimalAndAnimalFeed	food_additive	xanthan gum [FOODON:03413321]	X		
FoodAnimalAndAnimalFeed	food_cooking_proc	food blanching [FOODON:03470175]	X		
FoodAnimalAndAnimalFeed	food_dis_point	"USA:Delmarva, Peninsula"	X		
FoodAnimalAndAnimalFeed	food_dis_point_city	Atlanta[GAZ:00004445]	X		
FoodAnimalAndAnimalFeed	food_ingredient	bean (whole) [FOODON:00002753]	X		
FoodAnimalAndAnimalFeed	food_origin	"USA:Delmarva, Peninsula"	M		
FoodAnimalAndAnimalFeed	food_pack_capacity	454 grams	X	grams	
FoodAnimalAndAnimalFeed	food_pack_integrity	food packing medium compromised [FOODON:00002517]	X		
FoodAnimalAndAnimalFeed	food_prior_contact	processed in stainless steel container [FOODON:03530081]	X		
FoodAnimalAndAnimalFeed	food_prod	organic plant cultivation [FOODON:03530253]	M		
FoodAnimalAndAnimalFeed	food_prod_synonym	pinot gris	X		
FoodAnimalAndAnimalFeed	food_product_qual	raw [FOODON:03311126]	X		
FoodAnimalAndAnimalFeed	food_trace_list	tropical tree fruits	X		
FoodAnimalAndAnimalFeed	HACCP_term	tetrodotoxic poisoning [FOODON:03530249]	X		
FoodAnimalAndAnimalFeed	microb_cult_med	brain heart infusion agar [MICRO:0000566]	X		
FoodAnimalAndAnimalFeed	samp_collect_method	environmental swab sampling	X		
FoodAnimalAndAnimalFeed	samp_rep_biol	6 replicates	X		
FoodAnimalAndAnimalFeed	samp_rep_tech	10 replicates	X		
FoodAnimalAndAnimalFeed	samp_stor_device	Whirl Pak sampling bag [GENEPIO:0002122]	X		
FoodAnimalAndAnimalFeed	samp_stor_media	peptone water medium [MICRO:0000548]	X		
FoodAnimalAndAnimalFeed	samp_transport_cont	cooler	X		
FoodAnimalAndAnimalFeed	samp_transport_cont	cooler	X		
FoodAnimalAndAnimalFeed	samp_transport_dur	P10D	X	days	
FoodAnimalAndAnimalFeed	samp_transport_temp	4 degree Celsius	X	degree Celsius	
FoodAnimalAndAnimalFeed	spikein_AMR	wild type [ARO:3004432]	X		
FoodAnimalAndAnimalFeed	study_design	in vitro design [OBI:0001285]	X		
FoodAnimalAndAnimalFeed	study_inc_dur	P24H	X	hours or days	
FoodAnimalAndAnimalFeed	study_inc_temp	37 degree Celsius	X	degree Celsius	
FoodAnimalAndAnimalFeed	study_timecourse	2 days post inoculation	X	dpi	
FoodAnimalAndAnimalFeed	study_tmnt	"Factor A|spike-in|levels high, medium, low"	X		
FoodAnimalAndAnimalFeed	animal_am	tetracycline	X		
FoodAnimalAndAnimalFeed	animal_am_dur	3 days	X		
FoodAnimalAndAnimalFeed	animal_am_freq	once daily	X		
FoodAnimalAndAnimalFeed	animal_am_route	oral-feed	X		
FoodAnimalAndAnimalFeed	animal_am_use	shipping fever	X		
FoodAnimalAndAnimalFeed	animal_body_cond	under conditioned	X		
FoodAnimalAndAnimalFeed	animal_sex	castrated male	X		
FoodAnimalAndAnimalFeed	food_source_age	P6M	X	days	
FoodFarmEnvironment	samp_size	5 liters	X	"liter, gram, cm^2"	
FoodFarmEnvironment	samp_collect_device	"swab, biopsy, niskin bottle, push core, drag swab [GENEPIO:0002713]"	X		
FoodFarmEnvironment	lat_lon	50.586825 6.408977	M		
FoodFarmEnvironment	geo_loc_name	"USA: Maryland, Bethesda"	M		
