MIXS ID	Structured comment name	class	mixs matching attribute	mixs matching value	ontology id
MIXS:0000008	experimental_factor	misag	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	misag	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	mimag	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	mimag	Expected value	text or EFO and/or OBI	OBI
MIXS:0000008	experimental_factor	miuvig	Definition	Variable aspects of an experiment design that can be used to describe an experiment, or set of experiments, in an increasingly detailed manner. This field accepts ontology terms from Experimental Factor Ontology (EFO) and/or Ontology for Biomedical Investigations (OBI).	OBI
MIXS:0000008	experimental_factor	miuvig	Expected value	text or EFO and/or OBI	OBI
MIXS:0000010	geo_loc_name	migs_eu	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	migs_eu	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	migs_ba	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	migs_ba	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	migs_pl	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	migs_pl	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	migs_vi	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	migs_vi	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	migs_org	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	migs_org	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	mims	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	mims	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	mimarks_s	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	mimarks_s	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	mimarks_c	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	mimarks_c	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	misag	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	misag	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	mimag	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	mimag	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000010	geo_loc_name	miuvig	Definition	The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)	GAZ
MIXS:0000010	geo_loc_name	miuvig	Expected value	country or sea name (INSDC or GAZ): region(GAZ), specific location name	GAZ
MIXS:0000012	env_broad_scale	migs_eu	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	migs_eu	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	migs_eu	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	migs_ba	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	migs_ba	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	migs_ba	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	migs_pl	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	migs_pl	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	migs_pl	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	migs_vi	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	migs_vi	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	migs_vi	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	migs_org	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	migs_org	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	migs_org	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	mims	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	mims	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	mims	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	mimarks_s	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	mimarks_s	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	mimarks_s	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	mimarks_c	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	mimarks_c	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	mimarks_c	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	misag	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	misag	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	misag	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	mimag	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	mimag	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	mimag	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000012	env_broad_scale	miuvig	Definition	Report the major environmental system the sample or specimen came from. The system(s) identified should have a coarse spatial grain, to provide the general environmental context of where the sampling was done (e.g. in the desert or a rainforest). We recommend using subclasses of EnvO’s biome class:  http://purl.obolibrary.org/obo/ENVO_00000428. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS	ENVO
MIXS:0000012	env_broad_scale	miuvig	Expected value	The major environment type(s) where the sample was collected. Recommend subclasses of biome [ENVO:00000428]. Multiple terms can be separated by one or more pipes.	ENVO
MIXS:0000012	env_broad_scale	miuvig	Example	rangeland biome [ENVO:01000247]	ENVO
MIXS:0000013	env_local_scale	migs_eu	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	migs_eu	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	migs_ba	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	migs_ba	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	migs_pl	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	migs_pl	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	migs_vi	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	migs_vi	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	migs_org	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	migs_org	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	mims	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	mims	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	mimarks_s	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	mimarks_s	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	mimarks_c	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	mimarks_c	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	misag	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	misag	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	mimag	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	mimag	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000013	env_local_scale	miuvig	Definition	Report the entity or entities which are in the sample or specimen’s local vicinity and which you believe have significant causal influences on your sample or specimen. We recommend using EnvO terms which are of smaller spatial grain than your entry for env_broad_scale. Terms, such as anatomical sites, from other OBO Library ontologies which interoperate with EnvO (e.g. UBERON) are accepted in this field. EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS. 	ENVO
MIXS:0000013	env_local_scale	miuvig	Example	hillside [ENVO:01000333]	ENVO
MIXS:0000014	env_medium	migs_eu	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	migs_eu	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	migs_eu	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	migs_ba	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	migs_ba	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	migs_ba	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	migs_pl	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	migs_pl	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	migs_pl	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	migs_vi	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	migs_vi	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	migs_vi	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	migs_org	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	migs_org	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	migs_org	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	mims	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	mims	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	mims	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	mimarks_s	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	mimarks_s	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	mimarks_s	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	mimarks_c	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	mimarks_c	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	mimarks_c	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	misag	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	misag	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	misag	Example	bluegrass field soil [ENVO:00005789]	ENVO
MIXS:0000014	env_medium	mimag	Definition	Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top).	ENVO
MIXS:0000014	env_medium	mimag	Expected value	The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483]. 	ENVO
MIXS:0000014	env_medium	mimag	Example	bluegrass field soil [ENVO:00005789]	ENVO
