class	Structured comment name	Requirement	schemasheets cardinality	cardinality	recommended	in_subset	github ticket	Example
Miuvig	assembly_software	M	M	M		core_tab		
MigsBa	associated_resource	C	EM		TRUE	core_tab		
MigsEu	associated_resource	C	EM		TRUE	core_tab		
MigsOrg	associated_resource	C	EM		TRUE	core_tab		
MigsPl	associated_resource	C	EM		TRUE	core_tab		
MigsVi	associated_resource	C	EM		TRUE	core_tab		
Mimag	associated_resource	C	EM		TRUE	core_tab		
MimarksC	associated_resource	C	EM		TRUE	core_tab		
MimarksS	associated_resource	C	EM		TRUE	core_tab		
Mims	associated_resource	C	EM		TRUE	core_tab		
Misag	associated_resource	C	EM		TRUE	core_tab		
Miuvig	associated_resource	C	EM		TRUE	core_tab		
MigsBa	bin_param	-	-	-		core_tab		
MigsEu	bin_param	-	-	-		core_tab		
MigsOrg	bin_param	-	-	-		core_tab		
MigsPl	bin_param	-	-	-		core_tab		
MigsVi	bin_param	-	-	-		core_tab		
Mimag	bin_param	M	M	M		core_tab		
MimarksC	bin_param	-	-	-		core_tab		
MimarksS	bin_param	-	-	-		core_tab		
Mims	bin_param	-	-	-		core_tab		
Misag	bin_param	-	-	-		core_tab		
Miuvig	bin_param	C	EM		TRUE	core_tab		
MigsBa	bin_software	-	-	-		core_tab		
MigsEu	bin_software	-	-	-		core_tab		
MigsOrg	bin_software	-	-	-		core_tab		
MigsPl	bin_software	-	-	-		core_tab		
MigsVi	bin_software	-	-	-		core_tab		
Mimag	bin_software	M	M	M		core_tab		
MimarksC	bin_software	-	-	-		core_tab		
MimarksS	bin_software	-	-	-		core_tab		
Mims	bin_software	-	-	-		core_tab		
Misag	bin_software	-	-	-		core_tab		
Miuvig	bin_software	C	EM		TRUE	core_tab		
MigsBa	biotic_relationship	C	EM		TRUE	core_tab		
MigsEu	biotic_relationship	X	O	O		core_tab		
MigsOrg	biotic_relationship	-	-	-		core_tab		
MigsPl	biotic_relationship	-	-	-		core_tab		
MigsVi	biotic_relationship	X	O	O		core_tab		
Mimag	biotic_relationship	-	-	-		core_tab		
MimarksC	biotic_relationship	C	EM		TRUE	core_tab		
MimarksS	biotic_relationship	-	-	-		core_tab		
Mims	biotic_relationship	-	-	-		core_tab		
Misag	biotic_relationship	-	-	-		core_tab		
Miuvig	biotic_relationship	X	O	O		core_tab		
MigsBa	chimera_check	-	-	-		core_tab		
MigsEu	chimera_check	-	-	-		core_tab		
MigsOrg	chimera_check	-	-	-		core_tab		
MigsPl	chimera_check	-	-	-		core_tab		
MigsVi	chimera_check	-	-	-		core_tab		
Mimag	chimera_check	-	-	-		core_tab		
MimarksC	chimera_check	C	EM		TRUE	core_tab		
MimarksS	chimera_check	C	EM		TRUE	core_tab		
Mims	chimera_check	-	-	-		core_tab		
Misag	chimera_check	-	-	-		core_tab		
Miuvig	chimera_check	-	-	-		core_tab		
MigsBa	collection_date	M	M	M		core_tab		
MigsEu	collection_date	M	M	M		core_tab		
MigsOrg	collection_date	M	M	M		core_tab		
MigsPl	collection_date	M	M	M		core_tab		
MigsVi	collection_date	M	M	M		core_tab		
Mimag	collection_date	M	M	M		core_tab		
MimarksC	collection_date	M	M	M		core_tab		
MimarksS	collection_date	M	M	M		core_tab		
Mims	collection_date	M	M	M		core_tab		
Misag	collection_date	M	M	M		core_tab		
Miuvig	collection_date	M	M	M		core_tab		
MigsBa	compl_appr	-	-	-		core_tab		
MigsEu	compl_appr	-	-	-		core_tab		
MigsOrg	compl_appr	-	-	-		core_tab		
MigsPl	compl_appr	-	-	-		core_tab		
MigsVi	compl_appr	-	-	-		core_tab		
Mimag	compl_appr	X	O	O		core_tab		
MimarksC	compl_appr	-	-	-		core_tab		
MimarksS	compl_appr	-	-	-		core_tab		
Mims	compl_appr	-	-	-		core_tab		
Misag	compl_appr	X	O	O		core_tab		
Miuvig	compl_appr	C	EM		TRUE	core_tab		
MigsBa	compl_score	X	O	O		core_tab		
MigsEu	compl_score	X	O	O		core_tab		
MigsOrg	compl_score	X	O	O		core_tab		
MigsPl	compl_score	X	O	O		core_tab		
MigsVi	compl_score	X	O	O		core_tab		
Mimag	compl_score	M	M	M		core_tab		
MimarksC	compl_score	-	-	-		core_tab		
MimarksS	compl_score	-	-	-		core_tab		
Mims	compl_score	-	-	-		core_tab		
Misag	compl_score	M	M	M		core_tab		
Miuvig	compl_score	C	EM		TRUE	core_tab		
MigsBa	compl_software	X	O	O		core_tab		
MigsEu	compl_software	X	O	O		core_tab		
MigsOrg	compl_software	X	O	O		core_tab		
MigsPl	compl_software	X	O	O		core_tab		
MigsVi	compl_software	X	O	O		core_tab		
Mimag	compl_software	M	M	M		core_tab		
MimarksC	compl_software	-	-	-		core_tab		
MimarksS	compl_software	-	-	-		core_tab		
Mims	compl_software	-	-	-		core_tab		
Misag	compl_software	M	M	M		core_tab		
Miuvig	compl_software	X	O	O		core_tab		
MigsBa	contam_score	-	-	-		core_tab		
MigsEu	contam_score	-	-	-		core_tab		
MigsOrg	contam_score	-	-	-		core_tab		
MigsPl	contam_score	-	-	-		core_tab		
MigsVi	contam_score	-	-	-		core_tab		
Mimag	contam_score	M	M	M		core_tab		
MimarksC	contam_score	-	-	-		core_tab		
MimarksS	contam_score	-	-	-		core_tab		
Mims	contam_score	-	-	-		core_tab		
Misag	contam_score	M	M	M		core_tab		
Miuvig	contam_score	-	-	-		core_tab		
MigsBa	contam_screen_input	-	-	-		core_tab		
MigsEu	contam_screen_input	-	-	-		core_tab		
MigsOrg	contam_screen_input	-	-	-		core_tab		
MigsPl	contam_screen_input	-	-	-		core_tab		
MigsVi	contam_screen_input	-	-	-		core_tab		
Mimag	contam_screen_input	X	O	O		core_tab		
MimarksC	contam_screen_input	-	-	-		core_tab		
MimarksS	contam_screen_input	-	-	-		core_tab		
Mims	contam_screen_input	-	-	-		core_tab		
Misag	contam_screen_input	X	O	O		core_tab		
Miuvig	contam_screen_input	-	-	-		core_tab		
MigsBa	contam_screen_param	-	-	-		core_tab		
MigsEu	contam_screen_param	-	-	-		core_tab		
MigsOrg	contam_screen_param	-	-	-		core_tab		
MigsPl	contam_screen_param	-	-	-		core_tab		
MigsVi	contam_screen_param	-	-	-		core_tab		
Mimag	contam_screen_param	X	O	O		core_tab		
MimarksC	contam_screen_param	-	-	-		core_tab		
MimarksS	contam_screen_param	-	-	-		core_tab		
Mims	contam_screen_param	-	-	-		core_tab		
Misag	contam_screen_param	X	O	O		core_tab		
Miuvig	contam_screen_param	-	-	-		core_tab		
MigsBa	decontam_software	-	-	-		core_tab		
MigsEu	decontam_software	-	-	-		core_tab		
MigsOrg	decontam_software	-	-	-		core_tab		
MigsPl	decontam_software	-	-	-		core_tab		
MigsVi	decontam_software	-	-	-		core_tab		
Mimag	decontam_software	X	O	O		core_tab		
MimarksC	decontam_software	-	-	-		core_tab		
MimarksS	decontam_software	-	-	-		core_tab		
Mims	decontam_software	-	-	-		core_tab		
Misag	decontam_software	X	O	O		core_tab		
Miuvig	decontam_software	-	-	-		core_tab		
MigsBa	depth	E	E+		TRUE	core_tab		
MigsEu	depth	E	E+		TRUE	core_tab		
MigsOrg	depth	E	E+		TRUE	core_tab		
MigsPl	depth	E	E+		TRUE	core_tab		
MigsVi	depth	E	E+		TRUE	core_tab		
Mimag	depth	E	E+		TRUE	core_tab		
MimarksC	depth	E	E+		TRUE	core_tab		
MimarksS	depth	E	E+		TRUE	core_tab		
Mims	depth	E	E+		TRUE	core_tab		
Misag	depth	E	E+		TRUE	core_tab		
Miuvig	depth	E	E+		TRUE	core_tab		
MigsBa	detec_type	-	-	-		core_tab		
MigsEu	detec_type	-	-	-		core_tab		
MigsOrg	detec_type	-	-	-		core_tab		
MigsPl	detec_type	-	-	-		core_tab		
MigsVi	detec_type	-	-	-		core_tab		
Mimag	detec_type	-	-	-		core_tab		
MimarksC	detec_type	-	-	-		core_tab		
MimarksS	detec_type	-	-	-		core_tab		
Mims	detec_type	-	-	-		core_tab		
Misag	detec_type	-	-	-		core_tab		
Miuvig	detec_type	M	M	M		core_tab		
MigsBa	elev	E	E+		TRUE	core_tab		
MigsEu	elev	E	E+		TRUE	core_tab		
MigsOrg	elev	E	E+		TRUE	core_tab		
MigsPl	elev	E	E+		TRUE	core_tab		
MigsVi	elev	E	E+		TRUE	core_tab		
Mimag	elev	E	E+		TRUE	core_tab		
MimarksC	elev	E	E+		TRUE	core_tab		
MimarksS	elev	E	E+		TRUE	core_tab		
Mims	elev	E	E+		TRUE	core_tab		
Misag	elev	E	E+		TRUE	core_tab		
Miuvig	elev	E	E+		TRUE	core_tab		
MigsBa	encoded_traits	X	O	O		core_tab		
MigsEu	encoded_traits	-	-	-		core_tab		
MigsOrg	encoded_traits	-	-	-		core_tab		
MigsPl	encoded_traits	C	EM		TRUE	core_tab		
MigsVi	encoded_traits	C	EM		TRUE	core_tab		
Mimag	encoded_traits	-	-	-		core_tab		
MimarksC	encoded_traits	-	-	-		core_tab		
MimarksS	encoded_traits	-	-	-		core_tab		
Mims	encoded_traits	-	-	-		core_tab		
Misag	encoded_traits	-	-	-		core_tab		
Miuvig	encoded_traits	-	-	-		core_tab		
MigsBa	env_broad_scale	M	M	M		core_tab		
MigsEu	env_broad_scale	M	M	M		core_tab		
MigsOrg	env_broad_scale	M	M	M		core_tab		
MigsPl	env_broad_scale	M	M	M		core_tab		
MigsVi	env_broad_scale	M	M	M		core_tab		
Mimag	env_broad_scale	M	M	M		core_tab		
MimarksC	env_broad_scale	M	M	M		core_tab		
MimarksS	env_broad_scale	M	M	M		core_tab		
Mims	env_broad_scale	M	M	M		core_tab		
Misag	env_broad_scale	M	M	M		core_tab		
Miuvig	env_broad_scale	M	M	M		core_tab		
MigsBa	env_local_scale	M	M	M		core_tab		
MigsEu	env_local_scale	M	M	M		core_tab		
MigsOrg	env_local_scale	M	M	M		core_tab		
MigsPl	env_local_scale	M	M	M		core_tab		
MigsVi	env_local_scale	M	M	M		core_tab		
Mimag	env_local_scale	M	M	M		core_tab		
MimarksC	env_local_scale	M	M	M		core_tab		
MimarksS	env_local_scale	M	M	M		core_tab		
Mims	env_local_scale	M	M	M		core_tab		
Misag	env_local_scale	M	M	M		core_tab		
Miuvig	env_local_scale	M	M	M		core_tab		
MigsBa	env_medium	M	M	M		core_tab		
MigsEu	env_medium	M	M	M		core_tab		
MigsOrg	env_medium	M	M	M		core_tab		
MigsPl	env_medium	M	M	M		core_tab		
MigsVi	env_medium	M	M	M		core_tab		
Mimag	env_medium	M	M	M		core_tab		
MimarksC	env_medium	M	M	M		core_tab		
MimarksS	env_medium	M	M	M		core_tab		
Mims	env_medium	M	M	M		core_tab		
Misag	env_medium	M	M	M		core_tab		
Miuvig	env_medium	M	M	M		core_tab		
MigsBa	estimated_size	X	O	O		core_tab		
MigsEu	estimated_size	X	O	O		core_tab		
MigsOrg	estimated_size	X	O	O		core_tab		
MigsPl	estimated_size	X	O	O		core_tab		
MigsVi	estimated_size	X	O	O		core_tab		
Mimag	estimated_size	-	-	-		core_tab		
MimarksC	estimated_size	-	-	-		core_tab		
MimarksS	estimated_size	-	-	-		core_tab		
Mims	estimated_size	-	-	-		core_tab		
Misag	estimated_size	-	-	-		core_tab		
Miuvig	estimated_size	X	O	O		core_tab		
MigsBa	experimental_factor	X	O	O		core_tab		
MigsEu	experimental_factor	X	O	O		core_tab		
MigsOrg	experimental_factor	X	O	O		core_tab		
MigsPl	experimental_factor	X	O	O		core_tab		
MigsVi	experimental_factor	X	O	O		core_tab		
Mimag	experimental_factor	C	EM		TRUE	core_tab		
MimarksC	experimental_factor	X	O	O		core_tab		
MimarksS	experimental_factor	C	EM		TRUE	core_tab		
Mims	experimental_factor	C	EM		TRUE	core_tab		
Misag	experimental_factor	C	EM		TRUE	core_tab		
Miuvig	experimental_factor	C	EM		TRUE	core_tab		
MigsBa	extrachrom_elements	C	EM		TRUE	core_tab		
MigsEu	extrachrom_elements	X	O	O		core_tab		
MigsOrg	extrachrom_elements	C	EM		TRUE	core_tab		
MigsPl	extrachrom_elements	-	-	-		core_tab		
MigsVi	extrachrom_elements	-	-	-		core_tab		
Mimag	extrachrom_elements	-	-	-		core_tab		
MimarksC	extrachrom_elements	X	O	O		core_tab		
MimarksS	extrachrom_elements	-	-	-		core_tab		
Mims	extrachrom_elements	-	-	-		core_tab		
Misag	extrachrom_elements	-	-	-		core_tab		
Miuvig	extrachrom_elements	-	-	-		core_tab		
MigsBa	feat_pred	X	O	O		core_tab		
MigsEu	feat_pred	X	O	O		core_tab		
MigsOrg	feat_pred	X	O	O		core_tab		
MigsPl	feat_pred	X	O	O		core_tab		
MigsVi	feat_pred	X	O	O		core_tab		
Mimag	feat_pred	X	O	O		core_tab		
MimarksC	feat_pred	-	-	-		core_tab		
MimarksS	feat_pred	-	-	-		core_tab		
Mims	feat_pred	X	O	O		core_tab		
Misag	feat_pred	X	O	O		core_tab		
Miuvig	feat_pred	C	EM		TRUE	core_tab		
MigsBa	geo_loc_name	M	M	M		core_tab		
MigsEu	geo_loc_name	M	M	M		core_tab		
MigsOrg	geo_loc_name	M	M	M		core_tab		
MigsPl	geo_loc_name	M	M	M		core_tab		
MigsVi	geo_loc_name	M	M	M		core_tab		
Mimag	geo_loc_name	M	M	M		core_tab		
MimarksC	geo_loc_name	M	M	M		core_tab		
MimarksS	geo_loc_name	M	M	M		core_tab		
Mims	geo_loc_name	M	M	M		core_tab		
Misag	geo_loc_name	M	M	M		core_tab		
Miuvig	geo_loc_name	M	M	M		core_tab		
MigsBa	host_disease_stat	C	EM		TRUE	core_tab		
MigsEu	host_disease_stat	X	O	O		core_tab		
MigsOrg	host_disease_stat	-	-	-		core_tab		
MigsPl	host_disease_stat	-	-	-		core_tab		
MigsVi	host_disease_stat	C	EM		TRUE	core_tab		
Mimag	host_disease_stat	-	-	-		core_tab		
MimarksC	host_disease_stat	-	-	-		core_tab		
MimarksS	host_disease_stat	-	-	-		core_tab		
Mims	host_disease_stat	-	-	-		core_tab		
Misag	host_disease_stat	-	-	-		core_tab		
Miuvig	host_disease_stat	C	EM		TRUE	core_tab		
MigsBa	host_pred_appr	-	-	-		core_tab		
MigsEu	host_pred_appr	-	-	-		core_tab		
MigsOrg	host_pred_appr	-	-	-		core_tab		
MigsPl	host_pred_appr	-	-	-		core_tab		
MigsVi	host_pred_appr	-	-	-		core_tab		
Mimag	host_pred_appr	-	-	-		core_tab		
MimarksC	host_pred_appr	-	-	-		core_tab		
MimarksS	host_pred_appr	-	-	-		core_tab		
Mims	host_pred_appr	-	-	-		core_tab		
Misag	host_pred_appr	-	-	-		core_tab		
Miuvig	host_pred_appr	C	EM		TRUE	core_tab		
MigsBa	host_pred_est_acc	-	-	-		core_tab		
MigsEu	host_pred_est_acc	-	-	-		core_tab		
MigsOrg	host_pred_est_acc	-	-	-		core_tab		
MigsPl	host_pred_est_acc	-	-	-		core_tab		
MigsVi	host_pred_est_acc	-	-	-		core_tab		
Mimag	host_pred_est_acc	-	-	-		core_tab		
MimarksC	host_pred_est_acc	-	-	-		core_tab		
MimarksS	host_pred_est_acc	-	-	-		core_tab		
Mims	host_pred_est_acc	-	-	-		core_tab		
Misag	host_pred_est_acc	-	-	-		core_tab		
Miuvig	host_pred_est_acc	C	EM		TRUE	core_tab		
MigsBa	host_spec_range	X	O	O		core_tab		
MigsEu	host_spec_range	X	O	O		core_tab		
MigsOrg	host_spec_range	-	-	-		core_tab		
MigsPl	host_spec_range	X	O	O		core_tab		
MigsVi	host_spec_range	C	EM		TRUE	core_tab		
Mimag	host_spec_range	-	-	-		core_tab		
MimarksC	host_spec_range	-	-	-		core_tab		
MimarksS	host_spec_range	-	-	-		core_tab		
Mims	host_spec_range	-	-	-		core_tab		
Misag	host_spec_range	-	-	-		core_tab		
Miuvig	host_spec_range	X	O	O		core_tab		
MigsBa	isol_growth_condt	M	M	M		core_tab		
MigsEu	isol_growth_condt	M	M	M		core_tab		
MigsOrg	isol_growth_condt	M	M	M		core_tab		
MigsPl	isol_growth_condt	M	M	M		core_tab		
MigsVi	isol_growth_condt	M	M	M		core_tab		
Mimag	isol_growth_condt	-	-	-		core_tab		
MimarksC	isol_growth_condt	M	M	M		core_tab		
MimarksS	isol_growth_condt	-	-	-		core_tab		
Mims	isol_growth_condt	-	-	-		core_tab		
Misag	isol_growth_condt	-	-	-		core_tab		
Miuvig	isol_growth_condt	-	-	-		core_tab		
MigsBa	lat_lon	M	M	M		core_tab		
MigsEu	lat_lon	M	M	M		core_tab		
MigsOrg	lat_lon	M	M	M		core_tab		
MigsPl	lat_lon	M	M	M		core_tab		
MigsVi	lat_lon	M	M	M		core_tab		
Mimag	lat_lon	M	M	M		core_tab		
MimarksC	lat_lon	M	M	M		core_tab		
MimarksS	lat_lon	M	M	M		core_tab		
Mims	lat_lon	M	M	M		core_tab		
Misag	lat_lon	M	M	M		core_tab		
Miuvig	lat_lon	M	M	M		core_tab		
MigsBa	lib_layout	X	O	O		core_tab		
MigsEu	lib_layout	X	O	O		core_tab		
MigsOrg	lib_layout	X	O	O		core_tab		
MigsPl	lib_layout	X	O	O		core_tab		
MigsVi	lib_layout	X	O	O		core_tab		
Mimag	lib_layout	C	EM		TRUE	core_tab		
MimarksC	lib_layout	-	-	-		core_tab		
MimarksS	lib_layout	C	EM		TRUE	core_tab		
Mims	lib_layout	C	EM		TRUE	core_tab		
Misag	lib_layout	C	EM		TRUE	core_tab		
Miuvig	lib_layout	C	EM		TRUE	core_tab		
MigsBa	lib_reads_seqd	X	O	O		core_tab		
MigsEu	lib_reads_seqd	X	O	O		core_tab		
MigsOrg	lib_reads_seqd	X	O	O		core_tab		
MigsPl	lib_reads_seqd	X	O	O		core_tab		
MigsVi	lib_reads_seqd	X	O	O		core_tab		
Mimag	lib_reads_seqd	C	EM		TRUE	core_tab		
MimarksC	lib_reads_seqd	-	-	-		core_tab		
MimarksS	lib_reads_seqd	C	EM		TRUE	core_tab		
Mims	lib_reads_seqd	C	EM		TRUE	core_tab		
Misag	lib_reads_seqd	C	EM		TRUE	core_tab		
Miuvig	lib_reads_seqd	C	EM		TRUE	core_tab		
MigsBa	lib_screen	X	O	O		core_tab		
MigsEu	lib_screen	X	O	O		core_tab		
MigsOrg	lib_screen	X	O	O		core_tab		
MigsPl	lib_screen	X	O	O		core_tab		
MigsVi	lib_screen	X	O	O		core_tab		
Mimag	lib_screen	C	EM		TRUE	core_tab		
MimarksC	lib_screen	-	-	-		core_tab		
MimarksS	lib_screen	C	EM		TRUE	core_tab		
Mims	lib_screen	C	EM		TRUE	core_tab		
Misag	lib_screen	C	EM		TRUE	core_tab		
Miuvig	lib_screen	C	EM		TRUE	core_tab		
MigsBa	lib_size	X	O	O		core_tab		
MigsEu	lib_size	X	O	O		core_tab		
MigsOrg	lib_size	X	O	O		core_tab		
MigsPl	lib_size	X	O	O		core_tab		
MigsVi	lib_size	X	O	O		core_tab		
Mimag	lib_size	C	EM		TRUE	core_tab		
MimarksC	lib_size	-	-	-		core_tab		
MimarksS	lib_size	C	EM		TRUE	core_tab		
Mims	lib_size	C	EM		TRUE	core_tab		
Misag	lib_size	C	EM		TRUE	core_tab		
Miuvig	lib_size	C	EM		TRUE	core_tab		
MigsBa	lib_vector	X	O	O		core_tab		
MigsEu	lib_vector	X	O	O		core_tab		
MigsOrg	lib_vector	X	O	O		core_tab		
MigsPl	lib_vector	X	O	O		core_tab		
MigsVi	lib_vector	X	O	O		core_tab		
Mimag	lib_vector	C	EM		TRUE	core_tab		
MimarksC	lib_vector	-	-	-		core_tab		
MimarksS	lib_vector	C	EM		TRUE	core_tab		
Mims	lib_vector	C	EM		TRUE	core_tab		
Misag	lib_vector	C	EM		TRUE	core_tab		
Miuvig	lib_vector	C	EM		TRUE	core_tab		
MigsBa	mag_cov_software	-	-	-		core_tab		
MigsEu	mag_cov_software	-	-	-		core_tab		
MigsOrg	mag_cov_software	-	-	-		core_tab		
MigsPl	mag_cov_software	-	-	-		core_tab		
MigsVi	mag_cov_software	-	-	-		core_tab		
Mimag	mag_cov_software	X	O	O		core_tab		
MimarksC	mag_cov_software	-	-	-		core_tab		
MimarksS	mag_cov_software	-	-	-		core_tab		
Mims	mag_cov_software	-	-	-		core_tab		
Misag	mag_cov_software	-	-	-		core_tab		
Miuvig	mag_cov_software	X	O	O		core_tab		
MigsBa	mid	-	-	-		core_tab		
MigsEu	mid	-	-	-		core_tab		
MigsOrg	mid	-	-	-		core_tab		
MigsPl	mid	-	-	-		core_tab		
MigsVi	mid	-	-	-		core_tab		
Mimag	mid	C	EM		TRUE	core_tab		
MimarksC	mid	-	-	-		core_tab		
MimarksS	mid	C	EM		TRUE	core_tab		
Mims	mid	C	EM		TRUE	core_tab		
Misag	mid	C	EM		TRUE	core_tab		
Miuvig	mid	C	EM		TRUE	core_tab		
MigsBa	neg_cont_type	C	EM		TRUE	core_tab		
MigsEu	neg_cont_type	C	EM		TRUE	core_tab		
MigsOrg	neg_cont_type	C	EM		TRUE	core_tab		
MigsPl	neg_cont_type	C	EM		TRUE	core_tab		
MigsVi	neg_cont_type	C	EM		TRUE	core_tab		
Mimag	neg_cont_type	C	EM		TRUE	core_tab		
MimarksC	neg_cont_type	C	EM		TRUE	core_tab		
MimarksS	neg_cont_type	C	EM		TRUE	core_tab		
Mims	neg_cont_type	C	EM		TRUE	core_tab		
Misag	neg_cont_type	C	EM		TRUE	core_tab		
Miuvig	neg_cont_type	C	EM		TRUE	core_tab		
MigsBa	nucl_acid_amp	C	EM		TRUE	core_tab		
MigsEu	nucl_acid_amp	C	EM		TRUE	core_tab		
MigsOrg	nucl_acid_amp	C	EM		TRUE	core_tab		
MigsPl	nucl_acid_amp	C	EM		TRUE	core_tab		
MigsVi	nucl_acid_amp	C	EM		TRUE	core_tab		
Mimag	nucl_acid_amp	C	EM		TRUE	core_tab		
MimarksC	nucl_acid_amp	C	EM		TRUE	core_tab		
MimarksS	nucl_acid_amp	C	EM		TRUE	core_tab		
Mims	nucl_acid_amp	C	EM		TRUE	core_tab		
Misag	nucl_acid_amp	C	EM		TRUE	core_tab		
Miuvig	nucl_acid_amp	C	EM		TRUE	core_tab		
MigsBa	nucl_acid_ext	C	EM		TRUE	core_tab		
MigsEu	nucl_acid_ext	C	EM		TRUE	core_tab		
MigsOrg	nucl_acid_ext	C	EM		TRUE	core_tab		
MigsPl	nucl_acid_ext	C	EM		TRUE	core_tab		
MigsVi	nucl_acid_ext	C	EM		TRUE	core_tab		
Mimag	nucl_acid_ext	C	EM		TRUE	core_tab		
MimarksC	nucl_acid_ext	C	EM		TRUE	core_tab		
MimarksS	nucl_acid_ext	C	EM		TRUE	core_tab		
Mims	nucl_acid_ext	C	EM		TRUE	core_tab		
Misag	nucl_acid_ext	C	EM		TRUE	core_tab		
Miuvig	nucl_acid_ext	C	EM		TRUE	core_tab		
MigsBa	num_replicons	M	M	M		core_tab		
MigsEu	num_replicons	X	O	O		core_tab		
MigsOrg	num_replicons	-	-	-		core_tab		
MigsPl	num_replicons	-	-	-		core_tab		
MigsVi	num_replicons	C	EM		TRUE	core_tab		
Mimag	num_replicons	-	-	-		core_tab		
