enum	permissible_values	suspect	single
source_uvig_enum	viral fraction RNA metagenome (RNA virome)	True	False
source_uvig_enum	viral fraction metagenome (virome)	True	False
source_uvig_enum	viral single amplified genome (vSAG)	True	False
annot_enum	{text}	True	True
assembly_name_enum	{text} {text}	True	True
encoded_traits_enum	{text}	True	True
host_pred_est_acc_enum	{text}	True	True
lib_screen_enum	{text}	True	True
lib_vector_enum	{text}	True	True
pathogenicity_enum	{text}	True	True
pos_cont_type_enum	{term} or {text}	True	True
project_name_enum	{text}	True	True
propagation_enum	{text}	True	True
samp_mat_process_enum	{text}	True	True
samp_name_enum	{text}	True	True
single_cell_lysis_prot_enum	{text}	True	True
source_mat_id_enum	{text}	True	True
specific_host_enum	{NCBI taxid}	True	False
specific_host_enum	{text}	True	False
target_gene_enum	{text}	True	True
target_subfragment_enum	{text}	True	True
tax_class_enum	{text}	True	True
wga_amp_kit_enum	{text}	True	True
tax_ident_enum	16S rRNA gene	False	False
tax_ident_enum	multi-marker approach	False	False
tax_ident_enum	other	False	False
trophic_level_enum	autotroph	False	False
trophic_level_enum	autotroph	False	False
trophic_level_enum	carboxydotroph	False	False
trophic_level_enum	chemoautolithotroph	False	False
trophic_level_enum	chemoautotroph	False	False
trophic_level_enum	chemoheterotroph	False	False
trophic_level_enum	chemolithoautotroph	False	False
trophic_level_enum	chemolithotroph	False	False
trophic_level_enum	chemoorganoheterotroph	False	False
trophic_level_enum	chemoorganotroph	False	False
trophic_level_enum	chemosynthetic	False	False
trophic_level_enum	chemotroph	False	False
trophic_level_enum	copiotroph	False	False
trophic_level_enum	diazotroph	False	False
trophic_level_enum	facultative	False	False
trophic_level_enum	heterotroph	False	False
trophic_level_enum	lithoautotroph	False	False
trophic_level_enum	lithoheterotroph	False	False
trophic_level_enum	lithotroph	False	False
trophic_level_enum	methanotroph	False	False
trophic_level_enum	methylotroph	False	False
trophic_level_enum	mixotroph	False	False
trophic_level_enum	obligate	False	False
trophic_level_enum	oligotroph	False	False
trophic_level_enum	organoheterotroph	False	False
trophic_level_enum	organotroph	False	False
trophic_level_enum	photoautotroph	False	False
trophic_level_enum	photoheterotroph	False	False
trophic_level_enum	photolithoautotroph	False	False
trophic_level_enum	photolithotroph	False	False
trophic_level_enum	photosynthetic	False	False
trophic_level_enum	phototroph	False	False
virus_enrich_appr_enum	CsCl density gradient	False	False
virus_enrich_appr_enum	DNAse	False	False
virus_enrich_appr_enum	FeCl Precipitation	False	False
virus_enrich_appr_enum	PEG Precipitation	False	False
virus_enrich_appr_enum	RNAse	False	False
virus_enrich_appr_enum	centrifugation	False	False
virus_enrich_appr_enum	filtration	False	False
virus_enrich_appr_enum	none	False	False
virus_enrich_appr_enum	other	False	False
virus_enrich_appr_enum	targeted sequence capture	False	False
virus_enrich_appr_enum	ultracentrifugation	False	False
virus_enrich_appr_enum	ultrafiltration	False	False
wga_amp_appr_enum	mda based	False	False
wga_amp_appr_enum	pcr based	False	False
contam_score_enum	{float} percentage	True	True
lat_lon_enum	{float} {float}	True	True
alt_enum	{float} {unit}	True	True
depth_enum	{float} {unit}	True	True
elev_enum	{float} {unit}	True	True
samp_size_enum	{float} {unit}	True	True
samp_vol_we_dna_ext_enum	{float} {unit}	True	True
temp_enum	{float} {unit}	True	True
size_frac_enum	{float}-{float} {unit}	True	True
estimated_size_enum	{integer} bp	True	True
adapters_enum	{dna};{dna}	True	True
mid_enum	{dna}	True	True
env_broad_scale_enum	{termLabel} {termID}	True	True
env_local_scale_enum	{termLabel} {termID}	True	True
env_medium_enum	{termLabel} {termID}	True	True
ploidy_enum	{termLabel} {termID}	True	True
pcr_primers_enum	FWD:{dna};REV:{dna}	True	True
assembly_software_enum	{software};{version};{parameters}	True	True
associated_resource_enum	{DOI}	True	False
associated_resource_enum	{PMID}	True	False
associated_resource_enum	{URL}	True	False
bin_software_enum	{software};{version}{PID}	True	True
chimera_check_enum	{software};{version};{parameters}	True	True
collection_date_enum	{timestamp}	True	True
compl_score_enum	high	True	False
compl_score_enum	low;{percentage}	True	False
compl_score_enum	med	True	False
compl_software_enum	{software};{version}	True	True
contam_screen_param_enum	combination;{text	True	False
contam_screen_param_enum	coverage	True	False
contam_screen_param_enum	integer}	True	False
contam_screen_param_enum	kmer	True	False
contam_screen_param_enum	ref db	True	False
experimental_factor_enum	{termLabel} {termID}	True	False
experimental_factor_enum	{text}	True	False
feat_pred_enum	{software};{version};{parameters}	True	True
geo_loc_name_enum	{term}: {term}, {text}	True	True
host_disease_stat_enum	{termLabel} {termID}	True	False
host_disease_stat_enum	{text}	True	False
isol_growth_condt_enum	{DOI}	True	False
isol_growth_condt_enum	{PMID}	True	False
isol_growth_condt_enum	{URL}	True	False
nucl_acid_amp_enum	{DOI}	True	False
nucl_acid_amp_enum	{PMID}	True	False
nucl_acid_amp_enum	{URL}	True	False
nucl_acid_ext_enum	{DOI}	True	False
nucl_acid_ext_enum	{PMID}	True	False
nucl_acid_ext_enum	{URL}	True	False
otu_class_appr_enum	{ANI cutoff};{AF cutoff};{clustering method}	True	True
otu_db_enum	{database};{version}	True	True
otu_seq_comp_appr_enum	{software};{version};{parameters}	True	True
pcr_cond_enum	initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles	True	True
pred_genome_type_enum	DNA	True	False
pred_genome_type_enum	RNA	True	False
pred_genome_type_enum	dsDNA	True	False
pred_genome_type_enum	dsRNA	True	False
pred_genome_type_enum	mixed	True	False
pred_genome_type_enum	ssDNA	True	False
pred_genome_type_enum	ssRNA	True	False
pred_genome_type_enum	ssRNA (+)	True	False
pred_genome_type_enum	ssRNA (-)	True	False
pred_genome_type_enum	uncharacterized	True	False
ref_biomaterial_enum	{DOI}	True	False
ref_biomaterial_enum	{PMID}	True	False
ref_biomaterial_enum	{URL}	True	False
ref_db_enum	{database};{version};{reference}	True	True
samp_collec_device_enum	{termLabel} {termID}	True	False
samp_collec_device_enum	{text}	True	False
samp_collec_method_enum	{DOI}	True	False
samp_collec_method_enum	{PMID}	True	False
samp_collec_method_enum	{URL}	True	False
samp_collec_method_enum	{text}	True	False
samp_taxon_id_enum	{text} NCBI:txid	True	True
seq_meth_enum	{termLabel} {termID}	True	False
seq_meth_enum	{text}	True	False
sim_search_meth_enum	{software};{version};{parameters}	True	True
sop_enum	{DOI}	True	False
sop_enum	{PMID}	True	False
sop_enum	{URL}	True	False
subspecf_gen_lin_enum	{rank name}:{text}	True	True
trna_ext_software_enum	{software};{version};{parameters}	True	True
vir_ident_software_enum	{software};{version};{parameters}	True	True
x_16s_recover_software_enum	{software};{version};{parameters}	True	True
