SAFE Structured comment name	Package item	Structured comment name	Expected value	Value syntax	range	Example	Section	Preferred unit	Occurrence	MIXS ID	MIGS ID (mapping to GOLD)	Definition
link_class_info	link to classification information	link_class_info	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000329		Link to digitized soil maps or other soil classification information
link_climate_info	link to climate information	link_climate_info	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000328		Link to climate resource
local_class_meth	soil_taxonomic/local classification method	local_class_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000331		Reference or method used in determining the local soil classification
micro_biomass_meth	microbial biomass method	micro_biomass_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000339		Reference or method used in determining microbial biomass
ph_meth	pH method	ph_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0001106		Reference or method used in determining ph
prev_land_use_meth	history/previous land use method	prev_land_use_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000316		Reference or method used in determining previous land use and dates
salinity_meth	salinity method	salinity_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000341		Reference or method used in determining salinity
soil_texture_meth	soil texture method	soil_texture_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000336		Reference or method used in determining soil texture
soil_type_meth	soil type method	soil_type_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000334		Reference or method used in determining soil series name or other lower-level classification
tot_nitro_cont_meth	total nitrogen content method	tot_nitro_cont_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000338		Reference or method used in determining the total nitrogen
tot_org_c_meth	total organic carbon method	tot_org_c_meth	"PMID,DOI or url"	{PMID}|{DOI}|{URL}					1	MIXS:0000337		Reference or method used in determining total organic carbon
soil_type	soil type	soil_type	ENVO_00001998	{termLabel} {[termID]} 					1	MIXS:0000332		Description of the soil type or classification. This field accepts terms under soil (http://purl.obolibrary.org/obo/ENVO_00001998).  Multiple terms can be separated by pipes.
samp_name	sample name 	samp_name	text	{text}	string				1	MIXS:0001107		"A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing. It can refer either to the original material collected or to any derived sub-samples. It can have any format, but we suggest that you make it concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique. Use of a globally unique identifier for the field source_mat_id is recommended in addition to sample_name."
store_cond	storage conditions	store_cond	storage condition type;duration	{text};{duration}					1	MIXS:0000327		Explain how and for how long the soil sample was stored before DNA extraction (fresh/frozen/other).
misc_param	miscellaneous parameter	misc_param	parameter name;measurement value	{text};{float} {unit}					m	MIXS:0000752		"Any other measurement performed or parameter collected, that is not listed here"
previous_land_use	history/previous land use	previous_land_use	land use name;date	{text};{timestamp}					1	MIXS:0000315		Previous land use and dates
