checklist	Structured comment name	Example	Requirement	schemasheets cardinality	cardinality	recommended	github ticket
MigsEu	compl_software		X	O	O		
MigsOrg	compl_software		X	O	O		
MigsPl	compl_software		X	O	O		
MigsVi	compl_software		X	O	O		
Mimag	compl_software		M	M	M		
MimarksC	compl_software		-	-	-		
MimarksS	compl_software		-	-	-		
Mims	compl_software		-	-	-		
Misag	compl_software		M	M	M		
Miuvig	compl_software		X	O	O		
MigsBa	contam_score		-	-	-		
MigsEu	contam_score		-	-	-		
MigsOrg	contam_score		-	-	-		
MigsPl	contam_score		-	-	-		
MigsVi	contam_score		-	-	-		
Mimag	contam_score		M	M	M		
MimarksC	contam_score		-	-	-		
MimarksS	contam_score		-	-	-		
Mims	contam_score		-	-	-		
Misag	contam_score		M	M	M		
Miuvig	contam_score		-	-	-		
MigsBa	contam_screen_input		-	-	-		
MigsEu	contam_screen_input		-	-	-		
MigsOrg	contam_screen_input		-	-	-		
MigsPl	contam_screen_input		-	-	-		
MigsVi	contam_screen_input		-	-	-		
Mimag	contam_screen_input		X	O	O		
MimarksC	contam_screen_input		-	-	-		
MimarksS	contam_screen_input		-	-	-		
Mims	contam_screen_input		-	-	-		
Misag	contam_screen_input		X	O	O		
Miuvig	contam_screen_input		-	-	-		
MigsBa	contam_screen_param		-	-	-		
MigsEu	contam_screen_param		-	-	-		
MigsOrg	contam_screen_param		-	-	-		
MigsPl	contam_screen_param		-	-	-		
MigsVi	contam_screen_param		-	-	-		
Mimag	contam_screen_param		X	O	O		
MimarksC	contam_screen_param		-	-	-		
MimarksS	contam_screen_param		-	-	-		
Mims	contam_screen_param		-	-	-		
Misag	contam_screen_param		X	O	O		
Miuvig	contam_screen_param		-	-	-		
MigsBa	decontam_software		-	-	-		
MigsEu	decontam_software		-	-	-		
MigsOrg	decontam_software		-	-	-		
MigsPl	decontam_software		-	-	-		
MigsVi	decontam_software		-	-	-		
Mimag	decontam_software		X	O	O		
MimarksC	decontam_software		-	-	-		
MimarksS	decontam_software		-	-	-		
Mims	decontam_software		-	-	-		
Misag	decontam_software		X	O	O		
Miuvig	decontam_software		-	-	-		
MigsBa	depth		E	E+		TRUE	
MigsEu	depth		E	E+		TRUE	
MigsOrg	depth		E	E+		TRUE	
MigsPl	depth		E	E+		TRUE	
MigsVi	depth		E	E+		TRUE	
Mimag	depth		E	E+		TRUE	
MimarksC	depth		E	E+		TRUE	
MimarksS	depth		E	E+		TRUE	
Mims	depth		E	E+		TRUE	
Misag	depth		E	E+		TRUE	
Miuvig	depth		E	E+		TRUE	
MigsBa	detec_type		-	-	-		
MigsEu	detec_type		-	-	-		
MigsOrg	detec_type		-	-	-		
MigsPl	detec_type		-	-	-		
MigsVi	detec_type		-	-	-		
Mimag	detec_type		-	-	-		
MimarksC	detec_type		-	-	-		
MimarksS	detec_type		-	-	-		
Mims	detec_type		-	-	-		
Misag	detec_type		-	-	-		
Miuvig	detec_type		M	M	M		
MigsBa	elev		E	E+		TRUE	
MigsEu	elev		E	E+		TRUE	
MigsOrg	elev		E	E+		TRUE	
MigsPl	elev		E	E+		TRUE	
MigsVi	elev		E	E+		TRUE	
Mimag	elev		E	E+		TRUE	
MimarksC	elev		E	E+		TRUE	
MimarksS	elev		E	E+		TRUE	
Mims	elev		E	E+		TRUE	
Misag	elev		E	E+		TRUE	
Miuvig	elev		E	E+		TRUE	
MigsBa	encoded_traits		X	O	O		
MigsEu	encoded_traits		-	-	-		
MigsOrg	encoded_traits		-	-	-		
MigsPl	encoded_traits		C	EM		TRUE	
MigsVi	encoded_traits		C	EM		TRUE	
Mimag	encoded_traits		-	-	-		
MimarksC	encoded_traits		-	-	-		
MimarksS	encoded_traits		-	-	-		
Mims	encoded_traits		-	-	-		
Misag	encoded_traits		-	-	-		
Miuvig	encoded_traits		-	-	-		
MigsBa	env_broad_scale		M	M	M		
MigsEu	env_broad_scale		M	M	M		
MigsOrg	env_broad_scale		M	M	M		
MigsPl	env_broad_scale		M	M	M		
MigsVi	env_broad_scale		M	M	M		
Mimag	env_broad_scale		M	M	M		
MimarksC	env_broad_scale		M	M	M		
MimarksS	env_broad_scale		M	M	M		
Mims	env_broad_scale		M	M	M		
Misag	env_broad_scale		M	M	M		
Miuvig	env_broad_scale		M	M	M		
MigsBa	env_local_scale		M	M	M		
MigsEu	env_local_scale		M	M	M		
MigsOrg	env_local_scale		M	M	M		
MigsPl	env_local_scale		M	M	M		
MigsVi	env_local_scale		M	M	M		
Mimag	env_local_scale		M	M	M		
MimarksC	env_local_scale		M	M	M		
MimarksS	env_local_scale		M	M	M		
Mims	env_local_scale		M	M	M		
Misag	env_local_scale		M	M	M		
Miuvig	env_local_scale		M	M	M		
MigsBa	env_medium		M	M	M		
MigsEu	env_medium		M	M	M		
MigsOrg	env_medium		M	M	M		
MigsPl	env_medium		M	M	M		
MigsVi	env_medium		M	M	M		
Mimag	env_medium		M	M	M		
MimarksC	env_medium		M	M	M		
MimarksS	env_medium		M	M	M		
Mims	env_medium		M	M	M		
Misag	env_medium		M	M	M		
Miuvig	env_medium		M	M	M		
MigsBa	estimated_size		X	O	O		
MigsEu	estimated_size		X	O	O		
MigsOrg	estimated_size		X	O	O		
MigsPl	estimated_size		X	O	O		
MigsVi	estimated_size		X	O	O		
Mimag	estimated_size		-	-	-		
MimarksC	estimated_size		-	-	-		
MimarksS	estimated_size		-	-	-		
Mims	estimated_size		-	-	-		
Misag	estimated_size		-	-	-		
Miuvig	estimated_size		X	O	O		
MigsBa	experimental_factor		X	O	O		
MigsEu	experimental_factor		X	O	O		
MigsOrg	experimental_factor		X	O	O		
MigsPl	experimental_factor		X	O	O		
MigsVi	experimental_factor		X	O	O		
Mimag	experimental_factor		C	EM		TRUE	
MimarksC	experimental_factor		X	O	O		
MimarksS	experimental_factor		C	EM		TRUE	
Mims	experimental_factor		C	EM		TRUE	
Misag	experimental_factor		C	EM		TRUE	
Miuvig	experimental_factor		C	EM		TRUE	
MigsBa	extrachrom_elements		C	EM		TRUE	
MigsEu	extrachrom_elements		X	O	O		
MigsOrg	extrachrom_elements		C	EM		TRUE	
MigsPl	extrachrom_elements		-	-	-		
MigsVi	extrachrom_elements		-	-	-		
Mimag	extrachrom_elements		-	-	-		
MimarksC	extrachrom_elements		X	O	O		
MimarksS	extrachrom_elements		-	-	-		
Mims	extrachrom_elements		-	-	-		
Misag	extrachrom_elements		-	-	-		
Miuvig	extrachrom_elements		-	-	-		
MigsBa	feat_pred		X	O	O		
MigsEu	feat_pred		X	O	O		
MigsOrg	feat_pred		X	O	O		
MigsPl	feat_pred		X	O	O		
MigsVi	feat_pred		X	O	O		
Mimag	feat_pred		X	O	O		
MimarksC	feat_pred		-	-	-		
MimarksS	feat_pred		-	-	-		
Mims	feat_pred		X	O	O		
Misag	feat_pred		X	O	O		
Miuvig	feat_pred		C	EM		TRUE	
MigsBa	geo_loc_name		M	M	M		
MigsEu	geo_loc_name		M	M	M		
MigsOrg	geo_loc_name		M	M	M		
MigsPl	geo_loc_name		M	M	M		
MigsVi	geo_loc_name		M	M	M		
Mimag	geo_loc_name		M	M	M		
MimarksC	geo_loc_name		M	M	M		
MimarksS	geo_loc_name		M	M	M		
Mims	geo_loc_name		M	M	M		
Misag	geo_loc_name		M	M	M		
Miuvig	geo_loc_name		M	M	M		
MigsBa	host_disease_stat		C	EM		TRUE	
MigsEu	host_disease_stat		X	O	O		
MigsOrg	host_disease_stat		-	-	-		
MigsPl	host_disease_stat		-	-	-		
MigsVi	host_disease_stat		C	EM		TRUE	
Mimag	host_disease_stat		-	-	-		
MimarksC	host_disease_stat		-	-	-		
MimarksS	host_disease_stat		-	-	-		
Mims	host_disease_stat		-	-	-		
Misag	host_disease_stat		-	-	-		
Miuvig	host_disease_stat		C	EM		TRUE	
MigsBa	host_pred_appr		-	-	-		
MigsEu	host_pred_appr		-	-	-		
MigsOrg	host_pred_appr		-	-	-		
MigsPl	host_pred_appr		-	-	-		
MigsVi	host_pred_appr		-	-	-		
Mimag	host_pred_appr		-	-	-		
MimarksC	host_pred_appr		-	-	-		
MimarksS	host_pred_appr		-	-	-		
Mims	host_pred_appr		-	-	-		
Misag	host_pred_appr		-	-	-		
Miuvig	host_pred_appr		C	EM		TRUE	
MigsBa	host_pred_est_acc		-	-	-		
MigsEu	host_pred_est_acc		-	-	-		
MigsOrg	host_pred_est_acc		-	-	-		
MigsPl	host_pred_est_acc		-	-	-		
MigsVi	host_pred_est_acc		-	-	-		
Mimag	host_pred_est_acc		-	-	-		
MimarksC	host_pred_est_acc		-	-	-		
MimarksS	host_pred_est_acc		-	-	-		
Mims	host_pred_est_acc		-	-	-		
Misag	host_pred_est_acc		-	-	-		
Miuvig	host_pred_est_acc		C	EM		TRUE	
MigsBa	host_spec_range		X	O	O		
MigsEu	host_spec_range		X	O	O		
MigsOrg	host_spec_range		-	-	-		
MigsPl	host_spec_range		X	O	O		
MigsVi	host_spec_range		C	EM		TRUE	
Mimag	host_spec_range		-	-	-		
MimarksC	host_spec_range		-	-	-		
MimarksS	host_spec_range		-	-	-		
Mims	host_spec_range		-	-	-		
Misag	host_spec_range		-	-	-		
Miuvig	host_spec_range		X	O	O		
MigsBa	isol_growth_condt		M	M	M		
MigsEu	isol_growth_condt		M	M	M		
MigsOrg	isol_growth_condt		M	M	M		
MigsPl	isol_growth_condt		M	M	M		
MigsVi	isol_growth_condt		M	M	M		
Mimag	isol_growth_condt		-	-	-		
MimarksC	isol_growth_condt		M	M	M		
MimarksS	isol_growth_condt		-	-	-		
Mims	isol_growth_condt		-	-	-		
Misag	isol_growth_condt		-	-	-		
Miuvig	isol_growth_condt		-	-	-		
MigsBa	lat_lon		M	M	M		
MigsEu	lat_lon		M	M	M		
MigsOrg	lat_lon		M	M	M		
MigsPl	lat_lon		M	M	M		
MigsVi	lat_lon		M	M	M		
Mimag	lat_lon		M	M	M		
MimarksC	lat_lon		M	M	M		
MimarksS	lat_lon		M	M	M		
Mims	lat_lon		M	M	M		
Misag	lat_lon		M	M	M		
Miuvig	lat_lon		M	M	M		
MigsBa	lib_layout		X	O	O		
MigsEu	lib_layout		X	O	O		
MigsOrg	lib_layout		X	O	O		
MigsPl	lib_layout		X	O	O		
MigsVi	lib_layout		X	O	O		
Mimag	lib_layout		C	EM		TRUE	
MimarksC	lib_layout		-	-	-		
MimarksS	lib_layout		C	EM		TRUE	
Mims	lib_layout		C	EM		TRUE	
Misag	lib_layout		C	EM		TRUE	
Miuvig	lib_layout		C	EM		TRUE	
MigsBa	lib_reads_seqd		X	O	O		
MigsEu	lib_reads_seqd		X	O	O		
MigsOrg	lib_reads_seqd		X	O	O		
MigsPl	lib_reads_seqd		X	O	O		
MigsVi	lib_reads_seqd		X	O	O		
Mimag	lib_reads_seqd		C	EM		TRUE	
MimarksC	lib_reads_seqd		-	-	-		
MimarksS	lib_reads_seqd		C	EM		TRUE	
Mims	lib_reads_seqd		C	EM		TRUE	
Misag	lib_reads_seqd		C	EM		TRUE	
Miuvig	lib_reads_seqd		C	EM		TRUE	
MigsBa	lib_screen		X	O	O		
MigsEu	lib_screen		X	O	O		
MigsOrg	lib_screen		X	O	O		
MigsPl	lib_screen		X	O	O		
MigsVi	lib_screen		X	O	O		
Mimag	lib_screen		C	EM		TRUE	
MimarksC	lib_screen		-	-	-		
MimarksS	lib_screen		C	EM		TRUE	
Mims	lib_screen		C	EM		TRUE	
Misag	lib_screen		C	EM		TRUE	
Miuvig	lib_screen		C	EM		TRUE	
MigsBa	lib_size		X	O	O		
MigsEu	lib_size		X	O	O		
MigsOrg	lib_size		X	O	O		
MigsPl	lib_size		X	O	O		
MigsVi	lib_size		X	O	O		
Mimag	lib_size		C	EM		TRUE	
MimarksC	lib_size		-	-	-		
MimarksS	lib_size		C	EM		TRUE	
Mims	lib_size		C	EM		TRUE	
Misag	lib_size		C	EM		TRUE	
Miuvig	lib_size		C	EM		TRUE	
MigsBa	lib_vector		X	O	O		
MigsEu	lib_vector		X	O	O		
MigsOrg	lib_vector		X	O	O		
MigsPl	lib_vector		X	O	O		
MigsVi	lib_vector		X	O	O		
Mimag	lib_vector		C	EM		TRUE	
MimarksC	lib_vector		-	-	-		
MimarksS	lib_vector		C	EM		TRUE	
Mims	lib_vector		C	EM		TRUE	
Misag	lib_vector		C	EM		TRUE	
Miuvig	lib_vector		C	EM		TRUE	
MigsBa	mag_cov_software		-	-	-		
MigsEu	mag_cov_software		-	-	-		
MigsOrg	mag_cov_software		-	-	-		
MigsPl	mag_cov_software		-	-	-		
MigsVi	mag_cov_software		-	-	-		
Mimag	mag_cov_software		X	O	O		
MimarksC	mag_cov_software		-	-	-		
MimarksS	mag_cov_software		-	-	-		
Mims	mag_cov_software		-	-	-		
Misag	mag_cov_software		-	-	-		
Miuvig	mag_cov_software		X	O	O		
MigsBa	mid		-	-	-		
MigsEu	mid		-	-	-		
MigsOrg	mid		-	-	-		
MigsPl	mid		-	-	-		
MigsVi	mid		-	-	-		
Mimag	mid		C	EM		TRUE	
MimarksC	mid		-	-	-		
MimarksS	mid		C	EM		TRUE	
Mims	mid		C	EM		TRUE	
Misag	mid		C	EM		TRUE	
Miuvig	mid		C	EM		TRUE	
MigsBa	neg_cont_type		C	EM		TRUE	
MigsEu	neg_cont_type		C	EM		TRUE	
MigsOrg	neg_cont_type		C	EM		TRUE	
MigsPl	neg_cont_type		C	EM		TRUE	
MigsVi	neg_cont_type		C	EM		TRUE	
Mimag	neg_cont_type		C	EM		TRUE	
MimarksC	neg_cont_type		C	EM		TRUE	
MimarksS	neg_cont_type		C	EM		TRUE	
Mims	neg_cont_type		C	EM		TRUE	
Misag	neg_cont_type		C	EM		TRUE	
Miuvig	neg_cont_type		C	EM		TRUE	
MigsBa	nucl_acid_amp		C	EM		TRUE	
MigsEu	nucl_acid_amp		C	EM		TRUE	
MigsOrg	nucl_acid_amp		C	EM		TRUE	
MigsPl	nucl_acid_amp		C	EM		TRUE	
MigsVi	nucl_acid_amp		C	EM		TRUE	
Mimag	nucl_acid_amp		C	EM		TRUE	
MimarksC	nucl_acid_amp		C	EM		TRUE	
MimarksS	nucl_acid_amp		C	EM		TRUE	
Mims	nucl_acid_amp		C	EM		TRUE	
Misag	nucl_acid_amp		C	EM		TRUE	
Miuvig	nucl_acid_amp		C	EM		TRUE	
MigsBa	nucl_acid_ext		C	EM		TRUE	
MigsEu	nucl_acid_ext		C	EM		TRUE	
MigsOrg	nucl_acid_ext		C	EM		TRUE	
MigsPl	nucl_acid_ext		C	EM		TRUE	
MigsVi	nucl_acid_ext		C	EM		TRUE	
Mimag	nucl_acid_ext		C	EM		TRUE	
MimarksC	nucl_acid_ext		C	EM		TRUE	
MimarksS	nucl_acid_ext		C	EM		TRUE	
Mims	nucl_acid_ext		C	EM		TRUE	
Misag	nucl_acid_ext		C	EM		TRUE	
Miuvig	nucl_acid_ext		C	EM		TRUE	
MigsBa	num_replicons		M	M	M		
MigsEu	num_replicons		X	O	O		
MigsOrg	num_replicons		-	-	-		
MigsPl	num_replicons		-	-	-		
MigsVi	num_replicons		C	EM		TRUE	
Mimag	num_replicons		-	-	-		
MimarksC	num_replicons		-	-	-		
MimarksS	num_replicons		-	-	-		
Mims	num_replicons		-	-	-		
Misag	num_replicons		-	-	-		
Miuvig	num_replicons		-	-	-		
MigsBa	number_contig		M	M	M		
MigsEu	number_contig		M	M	M		
MigsOrg	number_contig		X	O	O		
MigsPl	number_contig		X	O	O		
MigsVi	number_contig		X	O	O		
Mimag	number_contig		X	O	O		
MimarksC	number_contig		-	-	-		
MimarksS	number_contig		-	-	-		
Mims	number_contig		C	EM		TRUE	
Misag	number_contig		X	O	O		
Miuvig	number_contig		M	M	M		
MigsBa	otu_class_appr		-	-	-		
MigsEu	otu_class_appr		-	-	-		
MigsOrg	otu_class_appr		-	-	-		
MigsPl	otu_class_appr		-	-	-		
MigsVi	otu_class_appr		-	-	-		
Mimag	otu_class_appr		-	-	-		
MimarksC	otu_class_appr		-	-	-		
MimarksS	otu_class_appr		-	-	-		
Mims	otu_class_appr		-	-	-		
Misag	otu_class_appr		-	-	-		
Miuvig	otu_class_appr		C	EM		TRUE	
MigsBa	otu_db		-	-	-		
MigsEu	otu_db		-	-	-		
MigsOrg	otu_db		-	-	-		
MigsPl	otu_db		-	-	-		
MigsVi	otu_db		-	-	-		
Mimag	otu_db		-	-	-		
MimarksC	otu_db		-	-	-		
MimarksS	otu_db		-	-	-		
Mims	otu_db		-	-	-		
Misag	otu_db		-	-	-		
Miuvig	otu_db		C	EM		TRUE	
MigsBa	otu_seq_comp_appr		-	-	-		
MigsEu	otu_seq_comp_appr		-	-	-		
MigsOrg	otu_seq_comp_appr		-	-	-		
MigsPl	otu_seq_comp_appr		-	-	-		
MigsVi	otu_seq_comp_appr		-	-	-		
Mimag	otu_seq_comp_appr		-	-	-		
MimarksC	otu_seq_comp_appr		-	-	-		
MimarksS	otu_seq_comp_appr		-	-	-		
Mims	otu_seq_comp_appr		-	-	-		
Misag	otu_seq_comp_appr		-	-	-		
Miuvig	otu_seq_comp_appr		C	EM		TRUE	
MigsBa	pathogenicity		C	EM		TRUE	
MigsEu	pathogenicity		C	EM		TRUE	
MigsOrg	pathogenicity		-	-	-		
MigsPl	pathogenicity		-	-	-		
MigsVi	pathogenicity		C	EM		TRUE	
Mimag	pathogenicity		-	-	-		
MimarksC	pathogenicity		-	-	-		
MimarksS	pathogenicity		-	-	-		
Mims	pathogenicity		-	-	-		
Misag	pathogenicity		-	-	-		
Miuvig	pathogenicity		X	O	O		
MigsBa	pcr_cond		-	-	-		
MigsEu	pcr_cond		-	-	-		
MigsOrg	pcr_cond		-	-	-		
MigsPl	pcr_cond		-	-	-		
MigsVi	pcr_cond		-	-	-		
Mimag	pcr_cond		-	-	-		
MimarksC	pcr_cond		C	EM		TRUE	
MimarksS	pcr_cond		C	EM		TRUE	
Mims	pcr_cond		-	-	-		
Misag	pcr_cond		-	-	-		
Miuvig	pcr_cond		-	-	-		
MigsBa	pcr_primers		-	-	-		
MigsEu	pcr_primers		-	-	-		
MigsOrg	pcr_primers		-	-	-		
MigsPl	pcr_primers		-	-	-		
MigsVi	pcr_primers		-	-	-		
Mimag	pcr_primers		-	-	-		
MimarksC	pcr_primers		C	EM		TRUE	
MimarksS	pcr_primers		C	EM		TRUE	
Mims	pcr_primers		-	-	-		
Misag	pcr_primers		-	-	-		
Miuvig	pcr_primers		-	-	-		
MigsBa	ploidy		-	-	-		
MigsEu	ploidy		X	O	O		
MigsOrg	ploidy		-	-	-		
MigsPl	ploidy		-	-	-		
MigsVi	ploidy		-	-	-		
Mimag	ploidy		-	-	-		
MimarksC	ploidy		-	-	-		
MimarksS	ploidy		-	-	-		
Mims	ploidy		-	-	-		
Misag	ploidy		-	-	-		
Miuvig	ploidy		-	-	-		
MigsBa	pos_cont_type		C	EM		TRUE	
MigsEu	pos_cont_type		C	EM		TRUE	
MigsOrg	pos_cont_type		C	EM		TRUE	
MigsPl	pos_cont_type		C	EM		TRUE	
MigsVi	pos_cont_type		C	EM		TRUE	
Mimag	pos_cont_type		C	EM		TRUE	
MimarksC	pos_cont_type		C	EM		TRUE	
MimarksS	pos_cont_type		C	EM		TRUE	
Mims	pos_cont_type		C	EM		TRUE	
Misag	pos_cont_type		C	EM		TRUE	
Miuvig	pos_cont_type		C	EM		TRUE	
MigsBa	pred_genome_struc		-	-	-		
MigsEu	pred_genome_struc		-	-	-		
MigsOrg	pred_genome_struc		-	-	-		
MigsPl	pred_genome_struc		-	-	-		
MigsVi	pred_genome_struc		-	-	-		
Mimag	pred_genome_struc		-	-	-		
MimarksC	pred_genome_struc		-	-	-		
MimarksS	pred_genome_struc		-	-	-		
Mims	pred_genome_struc		-	-	-		
Misag	pred_genome_struc		-	-	-		
Miuvig	pred_genome_struc		M	M	M		
MigsBa	pred_genome_type		-	-	-		
MigsEu	pred_genome_type		-	-	-		
MigsOrg	pred_genome_type		-	-	-		
MigsPl	pred_genome_type		-	-	-		
MigsVi	pred_genome_type		-	-	-		
Mimag	pred_genome_type		-	-	-		
MimarksC	pred_genome_type		-	-	-		
MimarksS	pred_genome_type		-	-	-		
Mims	pred_genome_type		-	-	-		
Misag	pred_genome_type		-	-	-		
Miuvig	pred_genome_type		M	M	M		
MigsBa	project_name		M	M	M		
MigsEu	project_name		M	M	M		
MigsOrg	project_name		M	M	M		
MigsPl	project_name		M	M	M		
MigsVi	project_name		M	M	M		
Mimag	project_name		M	M	M		
MimarksC	project_name		M	M	M		
MimarksS	project_name		M	M	M		
Mims	project_name		M	M	M		
