enum	permissible_values	suspect	single
associated_resource_enum	{PMID}	TRUE	FALSE
associated_resource_enum	{URL}	TRUE	FALSE
compl_score_enum	high	TRUE	FALSE
compl_score_enum	low;{percentage}	TRUE	FALSE
compl_score_enum	med	TRUE	FALSE
contam_screen_param_enum	combination;{text	TRUE	FALSE
contam_screen_param_enum	coverage	TRUE	FALSE
contam_screen_param_enum	integer}	TRUE	FALSE
contam_screen_param_enum	kmer	TRUE	FALSE
contam_screen_param_enum	ref db	TRUE	FALSE
decontam_software_enum	acdc	TRUE	FALSE
decontam_software_enum	anvi'o	TRUE	FALSE
decontam_software_enum	bbtools:decontaminate.sh	TRUE	FALSE
decontam_software_enum	checkm/refinem	TRUE	FALSE
decontam_software_enum	combination	TRUE	FALSE
decontam_software_enum	prodege	TRUE	FALSE
experimental_factor_enum	{termLabel} {termID}	TRUE	FALSE
experimental_factor_enum	{text}	TRUE	FALSE
host_disease_stat_enum	{termLabel} {termID}	TRUE	FALSE
host_disease_stat_enum	{text}	TRUE	FALSE
isol_growth_condt_enum	{DOI}	TRUE	FALSE
isol_growth_condt_enum	{PMID}	TRUE	FALSE
isol_growth_condt_enum	{URL}	TRUE	FALSE
nucl_acid_amp_enum	{DOI}	TRUE	FALSE
nucl_acid_amp_enum	{PMID}	TRUE	FALSE
nucl_acid_amp_enum	{URL}	TRUE	FALSE
nucl_acid_ext_enum	{DOI}	TRUE	FALSE
nucl_acid_ext_enum	{PMID}	TRUE	FALSE
nucl_acid_ext_enum	{URL}	TRUE	FALSE
pred_genome_type_enum	DNA	TRUE	FALSE
pred_genome_type_enum	dsDNA	TRUE	FALSE
pred_genome_type_enum	dsRNA	TRUE	FALSE
pred_genome_type_enum	mixed	TRUE	FALSE
pred_genome_type_enum	RNA	TRUE	FALSE
pred_genome_type_enum	ssDNA	TRUE	FALSE
pred_genome_type_enum	ssRNA	TRUE	FALSE
pred_genome_type_enum	ssRNA (-)	TRUE	FALSE
pred_genome_type_enum	ssRNA (+)	TRUE	FALSE
pred_genome_type_enum	uncharacterized	TRUE	FALSE
ref_biomaterial_enum	{DOI}	TRUE	FALSE
ref_biomaterial_enum	{PMID}	TRUE	FALSE
ref_biomaterial_enum	{URL}	TRUE	FALSE
samp_collec_device_enum	{termLabel} {termID}	TRUE	FALSE
samp_collec_device_enum	{text}	TRUE	FALSE
samp_collec_method_enum	{DOI}	TRUE	FALSE
samp_collec_method_enum	{PMID}	TRUE	FALSE
samp_collec_method_enum	{text}	TRUE	FALSE
samp_collec_method_enum	{URL}	TRUE	FALSE
seq_meth_enum	{termLabel} {termID}	TRUE	FALSE
seq_meth_enum	{text}	TRUE	FALSE
sop_enum	{DOI}	TRUE	FALSE
sop_enum	{PMID}	TRUE	FALSE
sop_enum	{URL}	TRUE	FALSE
specific_host_enum	{NCBI taxid}	TRUE	FALSE
specific_host_enum	{text}	TRUE	FALSE
